ï»¿Report_Data_Extracted,PHU_Num,PHU,LTC_Home,City,Beds,Total_LTC_Resident_Deaths
2020-04-24,2236.0,HALTON,Allendale,Milton,200.0,0.0
2020-04-24,2265.0,WATERLOO,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0.0
2020-04-24,2244.0,MIDDLESEX-LONDON,Chelsey Park,London,247.0,0.0
2020-04-24,3895.0,TORONTO,Chester Village,Toronto,203.0,0.0
2020-04-24,2237.0,HAMILTON,Clarion Nursing Home,Stoney Creek,100.0,0.0
2020-04-24,2246.0,NIAGARA,Douglas H. Rapelje Lodge,Welland,120.0,0.0
2020-04-24,3895.0,TORONTO,Ehatare Nursing Home,Scarborough,32.0,0.0
2020-04-24,2268.0,WINDSOR-ESSEX,Extendicare Southwood Lakes,Windsor,150.0,0.0
2020-04-24,2256.0,PORCUPINE,Extendicare Timmins,Timmins,180.0,0.0
2020-04-24,2246.0,NIAGARA,Garden City Manor,St. Catharines,200.0,0.0
2020-04-24,2251.0,OTTAWA,Garden Terrace,Kanata,160.0,0.0
2020-04-24,2238.0,HASTINGS PRINCE EDWARD,Hallowell House,Picton,97.0,0.0
2020-04-24,5183.0,Huron Perth,Hillside Manor,Stratford,90.0,0.0
2020-04-24,2230.0,DURHAM,Lakeview Manor,Beaverton,149.0,0.0
2020-04-24,2257.0,RENFREW,Miramichi Lodge,Pembroke,166.0,0.0
2020-04-24,2244.0,MIDDLESEX-LONDON,Mount Hope Centre for Long Term Care,London,394.0,0.0
2020-04-24,2234.0,HALDIMAND-NORFOLK,Norview Lodge,Simcoe,179.0,0.0
2020-04-24,2268.0,WINDSOR-ESSEX,Riverside Place,Windsor,96.0,0.0
2020-04-24,2255.0,PETERBOROUGH,Riverview Manor Nursing Home,Peterborough,124.0,0.0
2020-04-24,3895.0,TORONTO,Rockcliffe Care Community,Scarborough,204.0,0.0
2020-04-24,2265.0,WATERLOO,Saint Luke's Place,Cambridge,114.0,0.0
2020-04-24,2246.0,NIAGARA,Shalom Manor Long Term Care Home,Grimsby,144.0,0.0
2020-04-24,2260.0,SIMCOE-MUSKOKA,Spencer House,Orillia,160.0,0.0
2020-04-24,2244.0,MIDDLESEX-LONDON,Sprucedale Care Centre,Strathroy,96.0,0.0
2020-04-24,2265.0,WATERLOO,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0.0
2020-04-24,3895.0,TORONTO,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-24,2268.0,WINDSOR-ESSEX,The Village at St. Clair,Windsor,256.0,0.0
2020-04-24,2266.0,WELLINGTON-DUFFERIN-GUELPH,Wellington Terrace Long-Term Care Home,Fergus,176.0,0.0
2020-04-24,2237.0,HAMILTON,Wentworth Lodge,Dundas,160.0,0.0
