severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3455,19.0%,2620,14.4%,0,0.0%,6075,33.5%
hospitalization,70-79,1664,9.2%,2078,11.5%,0,0.0%,3742,20.6%
hospitalization,60-69,1162,6.4%,1819,10.0%,0,0.0%,2981,16.4%
hospitalization,50-59,913,5.0%,1436,7.9%,1,0.0%,2350,13.0%
hospitalization,40-49,568,3.1%,739,4.1%,0,0.0%,1307,7.2%
hospitalization,30-39,459,2.5%,421,2.3%,0,0.0%,880,4.9%
hospitalization,20-29,324,1.8%,220,1.2%,0,0.0%,544,3.0%
hospitalization,0-19,132,0.7%,130,0.7%,0,0.0%,262,1.4%
hospitalization,total,8677,47.8%,9463,52.2%,1,0.0%,18141,100.0%
icu,80+,243,6.6%,260,7.0%,0,0.0%,503,13.6%
icu,70-79,316,8.5%,582,15.7%,0,0.0%,898,24.3%
icu,60-69,300,8.1%,628,17.0%,0,0.0%,928,25.1%
icu,50-59,238,6.4%,464,12.5%,0,0.0%,702,19.0%
icu,40-49,125,3.4%,208,5.6%,0,0.0%,333,9.0%
icu,30-39,73,2.0%,101,2.7%,0,0.0%,174,4.7%
icu,20-29,62,1.7%,53,1.4%,0,0.0%,115,3.1%
icu,0-19,21,0.6%,26,0.7%,0,0.0%,47,1.3%
icu,total,1378,37.2%,2322,62.8%,0,0.0%,3700,100.0%
deaths,80+,4451,41.7%,3120,29.3%,0,0.0%,7571,71.0%
deaths,70-79,818,7.7%,1144,10.7%,0,0.0%,1962,18.4%
deaths,60-69,297,2.8%,481,4.5%,0,0.0%,778,7.3%
deaths,50-59,111,1.0%,148,1.4%,0,0.0%,259,2.4%
deaths,40-49,22,0.2%,42,0.4%,0,0.0%,64,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5709,53.5%,4954,46.5%,0,0.0%,10663,100.0%
