severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2341,18.2%,1666,13.0%,0,0.0%,4007,31.2%
hospitalization,70-79,1181,9.2%,1470,11.4%,0,0.0%,2651,20.6%
hospitalization,60-69,868,6.8%,1328,10.3%,0,0.0%,2196,17.1%
hospitalization,50-59,703,5.5%,1075,8.4%,1,0.0%,1779,13.9%
hospitalization,40-49,434,3.4%,547,4.3%,0,0.0%,981,7.6%
hospitalization,30-39,322,2.5%,327,2.5%,0,0.0%,649,5.1%
hospitalization,20-29,230,1.8%,169,1.3%,0,0.0%,399,3.1%
hospitalization,0-19,95,0.7%,85,0.7%,0,0.0%,180,1.4%
hospitalization,total,6174,48.1%,6667,51.9%,1,0.0%,12842,100.0%
icu,80+,188,6.2%,192,6.3%,0,0.0%,380,12.5%
icu,70-79,262,8.6%,456,15.0%,0,0.0%,718,23.6%
icu,60-69,247,8.1%,498,16.4%,0,0.0%,745,24.5%
icu,50-59,208,6.9%,408,13.4%,0,0.0%,616,20.3%
icu,40-49,109,3.6%,173,5.7%,0,0.0%,282,9.3%
icu,30-39,62,2.0%,87,2.9%,0,0.0%,149,4.9%
icu,20-29,58,1.9%,47,1.5%,0,0.0%,105,3.5%
icu,0-19,19,0.6%,22,0.7%,0,0.0%,41,1.4%
icu,total,1153,38.0%,1883,62.0%,0,0.0%,3036,100.0%
deaths,80+,4014,42.4%,2739,28.9%,0,0.0%,6753,71.4%
deaths,70-79,712,7.5%,1005,10.6%,0,0.0%,1717,18.1%
deaths,60-69,261,2.8%,428,4.5%,0,0.0%,689,7.3%
deaths,50-59,93,1.0%,132,1.4%,0,0.0%,225,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.5%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,4,0.0%,7,0.1%,0,0.0%,11,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5105,53.9%,4359,46.1%,0,0.0%,9464,100.0%
