severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3041,19.4%,2228,14.2%,0,0.0%,5269,33.6%
hospitalization,70-79,1419,9.1%,1773,11.3%,0,0.0%,3192,20.4%
hospitalization,60-69,1023,6.5%,1580,10.1%,0,0.0%,2603,16.6%
hospitalization,50-59,808,5.2%,1243,7.9%,1,0.0%,2052,13.1%
hospitalization,40-49,503,3.2%,654,4.2%,0,0.0%,1157,7.4%
hospitalization,30-39,377,2.4%,347,2.2%,0,0.0%,724,4.6%
hospitalization,20-29,277,1.8%,178,1.1%,0,0.0%,455,2.9%
hospitalization,0-19,107,0.7%,106,0.7%,0,0.0%,213,1.4%
hospitalization,total,7555,48.2%,8109,51.8%,1,0.0%,15665,100.0%
icu,80+,211,6.3%,223,6.7%,0,0.0%,434,13.1%
icu,70-79,278,8.4%,518,15.6%,0,0.0%,796,23.9%
icu,60-69,271,8.2%,565,17.0%,0,0.0%,836,25.1%
icu,50-59,220,6.6%,428,12.9%,0,0.0%,648,19.5%
icu,40-49,116,3.5%,187,5.6%,0,0.0%,303,9.1%
icu,30-39,67,2.0%,91,2.7%,0,0.0%,158,4.8%
icu,20-29,58,1.7%,47,1.4%,0,0.0%,105,3.2%
icu,0-19,20,0.6%,25,0.8%,0,0.0%,45,1.4%
icu,total,1241,37.3%,2084,62.7%,0,0.0%,3325,100.0%
deaths,80+,4125,42.0%,2851,29.1%,0,0.0%,6976,71.1%
deaths,70-79,749,7.6%,1048,10.7%,0,0.0%,1797,18.3%
deaths,60-69,271,2.8%,447,4.6%,0,0.0%,718,7.3%
deaths,50-59,100,1.0%,136,1.4%,0,0.0%,236,2.4%
deaths,40-49,18,0.2%,38,0.4%,0,0.0%,56,0.6%
deaths,30-39,5,0.1%,11,0.1%,0,0.0%,16,0.2%
deaths,20-29,4,0.0%,7,0.1%,0,0.0%,11,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5273,53.7%,4539,46.3%,0,0.0%,9812,100.0%
