severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2401,17.8%,1746,12.9%,0,0.0%,4147,30.7%
hospitalization,70-79,1236,9.2%,1551,11.5%,0,0.0%,2787,20.7%
hospitalization,60-69,920,6.8%,1434,10.6%,0,0.0%,2354,17.5%
hospitalization,50-59,738,5.5%,1128,8.4%,1,0.0%,1867,13.8%
hospitalization,40-49,464,3.4%,573,4.2%,0,0.0%,1037,7.7%
hospitalization,30-39,337,2.5%,346,2.6%,0,0.0%,683,5.1%
hospitalization,20-29,237,1.8%,178,1.3%,0,0.0%,415,3.1%
hospitalization,0-19,105,0.8%,92,0.7%,0,0.0%,197,1.5%
hospitalization,total,6438,47.7%,7048,52.3%,1,0.0%,13487,100.0%
icu,80+,197,6.1%,213,6.6%,0,0.0%,410,12.6%
icu,70-79,277,8.5%,501,15.4%,0,0.0%,778,23.9%
icu,60-69,267,8.2%,548,16.9%,0,0.0%,815,25.1%
icu,50-59,217,6.7%,428,13.2%,0,0.0%,645,19.8%
icu,40-49,114,3.5%,183,5.6%,0,0.0%,297,9.1%
icu,30-39,65,2.0%,92,2.8%,0,0.0%,157,4.8%
icu,20-29,58,1.8%,47,1.4%,0,0.0%,105,3.2%
icu,0-19,20,0.6%,24,0.7%,0,0.0%,44,1.4%
icu,total,1215,37.4%,2036,62.6%,0,0.0%,3251,100.0%
deaths,80+,4081,42.2%,2809,29.1%,0,0.0%,6890,71.3%
deaths,70-79,732,7.6%,1024,10.6%,0,0.0%,1756,18.2%
deaths,60-69,270,2.8%,440,4.6%,0,0.0%,710,7.3%
deaths,50-59,97,1.0%,135,1.4%,0,0.0%,232,2.4%
deaths,40-49,16,0.2%,38,0.4%,0,0.0%,54,0.6%
deaths,30-39,5,0.1%,11,0.1%,0,0.0%,16,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5205,53.8%,4464,46.2%,0,0.0%,9669,100.0%
