severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3596,19.0%,2761,14.6%,0,0.0%,6357,33.6%
hospitalization,70-79,1753,9.3%,2167,11.5%,0,0.0%,3920,20.7%
hospitalization,60-69,1209,6.4%,1887,10.0%,0,0.0%,3096,16.4%
hospitalization,50-59,958,5.1%,1477,7.8%,1,0.0%,2436,12.9%
hospitalization,40-49,586,3.1%,763,4.0%,0,0.0%,1349,7.1%
hospitalization,30-39,471,2.5%,444,2.3%,0,0.0%,915,4.8%
hospitalization,20-29,337,1.8%,228,1.2%,0,0.0%,565,3.0%
hospitalization,0-19,137,0.7%,136,0.7%,0,0.0%,273,1.4%
hospitalization,total,9047,47.8%,9863,52.2%,1,0.0%,18911,100.0%
icu,80+,250,6.5%,274,7.2%,0,0.0%,524,13.7%
icu,70-79,334,8.7%,600,15.7%,0,0.0%,934,24.4%
icu,60-69,315,8.2%,648,16.9%,0,0.0%,963,25.2%
icu,50-59,249,6.5%,474,12.4%,0,0.0%,723,18.9%
icu,40-49,125,3.3%,214,5.6%,0,0.0%,339,8.9%
icu,30-39,74,1.9%,105,2.7%,0,0.0%,179,4.7%
icu,20-29,62,1.6%,54,1.4%,0,0.0%,116,3.0%
icu,0-19,21,0.5%,26,0.7%,0,0.0%,47,1.2%
icu,total,1430,37.4%,2395,62.6%,0,0.0%,3825,100.0%
deaths,80+,4567,41.6%,3223,29.4%,0,0.0%,7790,71.0%
deaths,70-79,849,7.7%,1181,10.8%,0,0.0%,2030,18.5%
deaths,60-69,306,2.8%,489,4.5%,0,0.0%,795,7.2%
deaths,50-59,114,1.0%,152,1.4%,0,0.0%,266,2.4%
deaths,40-49,23,0.2%,43,0.4%,0,0.0%,66,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,8,0.1%,0,0.0%,11,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5869,53.5%,5108,46.5%,0,0.0%,10977,100.0%
