severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,4300,18.9%,3396,14.9%,0,0.0%,7696,33.7%
hospitalization,70-79,2134,9.4%,2656,11.6%,0,0.0%,4790,21.0%
hospitalization,60-69,1470,6.4%,2280,10.0%,0,0.0%,3750,16.4%
hospitalization,50-59,1146,5.0%,1740,7.6%,1,0.0%,2887,12.7%
hospitalization,40-49,683,3.0%,910,4.0%,0,0.0%,1593,7.0%
hospitalization,30-39,568,2.5%,521,2.3%,0,0.0%,1089,4.8%
hospitalization,20-29,414,1.8%,267,1.2%,0,0.0%,681,3.0%
hospitalization,0-19,160,0.7%,159,0.7%,0,0.0%,319,1.4%
hospitalization,total,10875,47.7%,11929,52.3%,1,0.0%,22805,100.0%
icu,80+,281,6.4%,332,7.6%,0,0.0%,613,13.9%
icu,70-79,384,8.7%,703,16.0%,0,0.0%,1087,24.7%
icu,60-69,367,8.3%,765,17.4%,0,0.0%,1132,25.8%
icu,50-59,276,6.3%,523,11.9%,0,0.0%,799,18.2%
icu,40-49,142,3.2%,239,5.4%,0,0.0%,381,8.7%
icu,30-39,83,1.9%,121,2.8%,0,0.0%,204,4.6%
icu,20-29,71,1.6%,59,1.3%,0,0.0%,130,3.0%
icu,0-19,22,0.5%,28,0.6%,0,0.0%,50,1.1%
icu,total,1626,37.0%,2770,63.0%,0,0.0%,4396,100.0%
deaths,80+,4964,41.1%,3590,29.7%,0,0.0%,8554,70.8%
deaths,70-79,928,7.7%,1300,10.8%,0,0.0%,2228,18.4%
deaths,60-69,334,2.8%,555,4.6%,0,0.0%,889,7.4%
deaths,50-59,127,1.1%,167,1.4%,0,0.0%,294,2.4%
deaths,40-49,25,0.2%,46,0.4%,0,0.0%,71,0.6%
deaths,30-39,7,0.1%,18,0.1%,0,0.0%,25,0.2%
deaths,20-29,4,0.0%,8,0.1%,0,0.0%,12,0.1%
deaths,0-19,1,0.0%,2,0.0%,0,0.0%,3,0.0%
deaths,total,6390,52.9%,5686,47.1%,0,0.0%,12076,100.0%
