severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2407,17.8%,1755,13.0%,0,0.0%,4162,30.7%
hospitalization,70-79,1240,9.2%,1559,11.5%,0,0.0%,2799,20.7%
hospitalization,60-69,925,6.8%,1438,10.6%,0,0.0%,2363,17.4%
hospitalization,50-59,742,5.5%,1134,8.4%,1,0.0%,1877,13.9%
hospitalization,40-49,465,3.4%,577,4.3%,0,0.0%,1042,7.7%
hospitalization,30-39,338,2.5%,346,2.6%,0,0.0%,684,5.1%
hospitalization,20-29,237,1.8%,178,1.3%,0,0.0%,415,3.1%
hospitalization,0-19,106,0.8%,94,0.7%,0,0.0%,200,1.5%
hospitalization,total,6460,47.7%,7081,52.3%,1,0.0%,13542,100.0%
icu,80+,197,6.0%,216,6.6%,0,0.0%,413,12.7%
icu,70-79,277,8.5%,501,15.4%,0,0.0%,778,23.9%
icu,60-69,267,8.2%,549,16.9%,0,0.0%,816,25.1%
icu,50-59,218,6.7%,428,13.1%,0,0.0%,646,19.8%
icu,40-49,115,3.5%,183,5.6%,0,0.0%,298,9.1%
icu,30-39,65,2.0%,92,2.8%,0,0.0%,157,4.8%
icu,20-29,58,1.8%,47,1.4%,0,0.0%,105,3.2%
icu,0-19,20,0.6%,24,0.7%,0,0.0%,44,1.4%
icu,total,1217,37.4%,2040,62.6%,0,0.0%,3257,100.0%
deaths,80+,4085,42.2%,2810,29.0%,0,0.0%,6895,71.2%
deaths,70-79,734,7.6%,1026,10.6%,0,0.0%,1760,18.2%
deaths,60-69,271,2.8%,440,4.5%,0,0.0%,711,7.3%
deaths,50-59,98,1.0%,135,1.4%,0,0.0%,233,2.4%
deaths,40-49,16,0.2%,38,0.4%,0,0.0%,54,0.6%
deaths,30-39,5,0.1%,11,0.1%,0,0.0%,16,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5213,53.9%,4467,46.1%,0,0.0%,9680,100.0%
