severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3121,19.4%,2291,14.2%,0,0.0%,5412,33.6%
hospitalization,70-79,1473,9.1%,1835,11.4%,0,0.0%,3308,20.5%
hospitalization,60-69,1050,6.5%,1613,10.0%,0,0.0%,2663,16.5%
hospitalization,50-59,826,5.1%,1283,8.0%,1,0.0%,2110,13.1%
hospitalization,40-49,509,3.2%,667,4.1%,0,0.0%,1176,7.3%
hospitalization,30-39,392,2.4%,361,2.2%,0,0.0%,753,4.7%
hospitalization,20-29,282,1.8%,188,1.2%,0,0.0%,470,2.9%
hospitalization,0-19,110,0.7%,107,0.7%,0,0.0%,217,1.3%
hospitalization,total,7763,48.2%,8345,51.8%,1,0.0%,16109,100.0%
icu,80+,221,6.5%,233,6.8%,0,0.0%,454,13.3%
icu,70-79,290,8.5%,537,15.7%,0,0.0%,827,24.2%
icu,60-69,279,8.2%,574,16.8%,0,0.0%,853,25.0%
icu,50-59,223,6.5%,437,12.8%,0,0.0%,660,19.3%
icu,40-49,116,3.4%,192,5.6%,0,0.0%,308,9.0%
icu,30-39,67,2.0%,92,2.7%,0,0.0%,159,4.7%
icu,20-29,58,1.7%,47,1.4%,0,0.0%,105,3.1%
icu,0-19,20,0.6%,25,0.7%,0,0.0%,45,1.3%
icu,total,1274,37.3%,2137,62.7%,0,0.0%,3411,100.0%
deaths,80+,4178,42.0%,2890,29.1%,0,0.0%,7068,71.0%
deaths,70-79,761,7.6%,1064,10.7%,0,0.0%,1825,18.3%
deaths,60-69,274,2.8%,453,4.6%,0,0.0%,727,7.3%
deaths,50-59,103,1.0%,137,1.4%,0,0.0%,240,2.4%
deaths,40-49,20,0.2%,39,0.4%,0,0.0%,59,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5346,53.7%,4602,46.3%,0,0.0%,9948,100.0%
