severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2291,18.5%,1619,13.1%,0,0.0%,3910,31.6%
hospitalization,70-79,1131,9.2%,1394,11.3%,0,0.0%,2525,20.4%
hospitalization,60-69,830,6.7%,1269,10.3%,0,0.0%,2099,17.0%
hospitalization,50-59,681,5.5%,1014,8.2%,1,0.0%,1696,13.7%
hospitalization,40-49,419,3.4%,521,4.2%,0,0.0%,940,7.6%
hospitalization,30-39,311,2.5%,320,2.6%,0,0.0%,631,5.1%
hospitalization,20-29,222,1.8%,163,1.3%,0,0.0%,385,3.1%
hospitalization,0-19,92,0.7%,81,0.7%,0,0.0%,173,1.4%
hospitalization,total,5977,48.4%,6381,51.6%,1,0.0%,12359,100.0%
icu,80+,151,6.0%,141,5.6%,0,0.0%,292,11.7%
icu,70-79,206,8.2%,369,14.7%,0,0.0%,575,22.9%
icu,60-69,205,8.2%,425,17.0%,0,0.0%,630,25.1%
icu,50-59,180,7.2%,338,13.5%,0,0.0%,518,20.7%
icu,40-49,93,3.7%,146,5.8%,0,0.0%,239,9.5%
icu,30-39,51,2.0%,76,3.0%,0,0.0%,127,5.1%
icu,20-29,49,2.0%,44,1.8%,0,0.0%,93,3.7%
icu,0-19,14,0.6%,18,0.7%,0,0.0%,32,1.3%
icu,total,949,37.9%,1557,62.1%,0,0.0%,2506,100.0%
deaths,80+,3983,42.4%,2716,28.9%,0,0.0%,6699,71.4%
deaths,70-79,704,7.5%,999,10.6%,0,0.0%,1703,18.1%
deaths,60-69,258,2.7%,424,4.5%,0,0.0%,682,7.3%
deaths,50-59,93,1.0%,131,1.4%,0,0.0%,224,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,4,0.0%,6,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5063,53.9%,4324,46.1%,0,0.0%,9387,100.0%
