severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3168,19.4%,2328,14.2%,0,0.0%,5496,33.6%
hospitalization,70-79,1491,9.1%,1862,11.4%,0,0.0%,3353,20.5%
hospitalization,60-69,1065,6.5%,1641,10.0%,0,0.0%,2706,16.5%
hospitalization,50-59,834,5.1%,1303,8.0%,1,0.0%,2138,13.1%
hospitalization,40-49,516,3.2%,679,4.1%,0,0.0%,1195,7.3%
hospitalization,30-39,404,2.5%,371,2.3%,0,0.0%,775,4.7%
hospitalization,20-29,288,1.8%,193,1.2%,0,0.0%,481,2.9%
hospitalization,0-19,116,0.7%,111,0.7%,0,0.0%,227,1.4%
hospitalization,total,7882,48.1%,8488,51.8%,1,0.0%,16371,100.0%
icu,80+,224,6.5%,234,6.8%,0,0.0%,458,13.3%
icu,70-79,293,8.5%,540,15.7%,0,0.0%,833,24.2%
icu,60-69,283,8.2%,580,16.9%,0,0.0%,863,25.1%
icu,50-59,225,6.5%,437,12.7%,0,0.0%,662,19.2%
icu,40-49,116,3.4%,193,5.6%,0,0.0%,309,9.0%
icu,30-39,69,2.0%,93,2.7%,0,0.0%,162,4.7%
icu,20-29,59,1.7%,47,1.4%,0,0.0%,106,3.1%
icu,0-19,21,0.6%,26,0.8%,0,0.0%,47,1.4%
icu,total,1290,37.5%,2150,62.5%,0,0.0%,3440,100.0%
deaths,80+,4201,41.9%,2911,29.1%,0,0.0%,7112,71.0%
deaths,70-79,766,7.6%,1072,10.7%,0,0.0%,1838,18.3%
deaths,60-69,277,2.8%,457,4.6%,0,0.0%,734,7.3%
deaths,50-59,103,1.0%,139,1.4%,0,0.0%,242,2.4%
deaths,40-49,20,0.2%,42,0.4%,0,0.0%,62,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5377,53.7%,4640,46.3%,0,0.0%,10017,100.0%
