severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3333,19.1%,2484,14.3%,0,0.0%,5817,33.4%
hospitalization,70-79,1582,9.1%,1984,11.4%,0,0.0%,3566,20.5%
hospitalization,60-69,1121,6.4%,1754,10.1%,0,0.0%,2875,16.5%
hospitalization,50-59,881,5.1%,1380,7.9%,1,0.0%,2262,13.0%
hospitalization,40-49,549,3.2%,727,4.2%,0,0.0%,1276,7.3%
hospitalization,30-39,438,2.5%,411,2.4%,0,0.0%,849,4.9%
hospitalization,20-29,309,1.8%,215,1.2%,0,0.0%,524,3.0%
hospitalization,0-19,128,0.7%,124,0.7%,0,0.0%,252,1.4%
hospitalization,total,8341,47.9%,9079,52.1%,1,0.0%,17421,100.0%
icu,80+,238,6.6%,250,6.9%,0,0.0%,488,13.5%
icu,70-79,303,8.4%,568,15.7%,0,0.0%,871,24.1%
icu,60-69,296,8.2%,612,16.9%,0,0.0%,908,25.1%
icu,50-59,233,6.4%,456,12.6%,0,0.0%,689,19.1%
icu,40-49,122,3.4%,205,5.7%,0,0.0%,327,9.0%
icu,30-39,72,2.0%,100,2.8%,0,0.0%,172,4.8%
icu,20-29,60,1.7%,52,1.4%,0,0.0%,112,3.1%
icu,0-19,21,0.6%,26,0.7%,0,0.0%,47,1.3%
icu,total,1345,37.2%,2269,62.8%,0,0.0%,3614,100.0%
deaths,80+,4315,41.8%,3015,29.2%,0,0.0%,7330,70.9%
deaths,70-79,793,7.7%,1107,10.7%,0,0.0%,1900,18.4%
deaths,60-69,289,2.8%,471,4.6%,0,0.0%,760,7.4%
deaths,50-59,107,1.0%,145,1.4%,0,0.0%,252,2.4%
deaths,40-49,22,0.2%,42,0.4%,0,0.0%,64,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5536,53.6%,4799,46.4%,0,0.0%,10335,100.0%
