severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3278,19.3%,2429,14.3%,0,0.0%,5707,33.6%
hospitalization,70-79,1543,9.1%,1934,11.4%,0,0.0%,3477,20.5%
hospitalization,60-69,1090,6.4%,1703,10.0%,0,0.0%,2793,16.4%
hospitalization,50-59,867,5.1%,1347,7.9%,1,0.0%,2215,13.0%
hospitalization,40-49,530,3.1%,702,4.1%,0,0.0%,1232,7.3%
hospitalization,30-39,428,2.5%,389,2.3%,0,0.0%,817,4.8%
hospitalization,20-29,300,1.8%,206,1.2%,0,0.0%,506,3.0%
hospitalization,0-19,121,0.7%,118,0.7%,0,0.0%,239,1.4%
hospitalization,total,8157,48.0%,8828,52.0%,1,0.0%,16986,100.0%
icu,80+,228,6.5%,243,6.9%,0,0.0%,471,13.4%
icu,70-79,299,8.5%,554,15.7%,0,0.0%,853,24.2%
icu,60-69,291,8.3%,599,17.0%,0,0.0%,890,25.2%
icu,50-59,229,6.5%,446,12.6%,0,0.0%,675,19.1%
icu,40-49,120,3.4%,198,5.6%,0,0.0%,318,9.0%
icu,30-39,70,2.0%,95,2.7%,0,0.0%,165,4.7%
icu,20-29,59,1.7%,49,1.4%,0,0.0%,108,3.1%
icu,0-19,21,0.6%,26,0.7%,0,0.0%,47,1.3%
icu,total,1317,37.3%,2210,62.7%,0,0.0%,3527,100.0%
deaths,80+,4267,41.8%,2975,29.1%,0,0.0%,7242,70.9%
deaths,70-79,787,7.7%,1097,10.7%,0,0.0%,1884,18.4%
deaths,60-69,284,2.8%,466,4.6%,0,0.0%,750,7.3%
deaths,50-59,107,1.0%,142,1.4%,0,0.0%,249,2.4%
deaths,40-49,21,0.2%,42,0.4%,0,0.0%,63,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5476,53.6%,4741,46.4%,0,0.0%,10217,100.0%
