severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2235,18.8%,1552,13.1%,0,0.0%,3787,31.9%
hospitalization,70-79,1093,9.2%,1341,11.3%,0,0.0%,2434,20.5%
hospitalization,60-69,792,6.7%,1215,10.2%,0,0.0%,2007,16.9%
hospitalization,50-59,663,5.6%,981,8.3%,1,0.0%,1645,13.8%
hospitalization,40-49,399,3.4%,503,4.2%,0,0.0%,902,7.6%
hospitalization,30-39,289,2.4%,302,2.5%,0,0.0%,591,5.0%
hospitalization,20-29,207,1.7%,154,1.3%,0,0.0%,361,3.0%
hospitalization,0-19,86,0.7%,77,0.6%,0,0.0%,163,1.4%
hospitalization,total,5764,48.5%,6125,51.5%,1,0.0%,11890,100.0%
icu,80+,147,6.1%,134,5.5%,0,0.0%,281,11.6%
icu,70-79,199,8.2%,359,14.8%,0,0.0%,558,23.0%
icu,60-69,196,8.1%,407,16.8%,0,0.0%,603,24.9%
icu,50-59,177,7.3%,328,13.5%,0,0.0%,505,20.8%
icu,40-49,92,3.8%,142,5.9%,0,0.0%,234,9.6%
icu,30-39,48,2.0%,74,3.1%,0,0.0%,122,5.0%
icu,20-29,49,2.0%,41,1.7%,0,0.0%,90,3.7%
icu,0-19,14,0.6%,18,0.7%,0,0.0%,32,1.3%
icu,total,922,38.0%,1503,62.0%,0,0.0%,2425,100.0%
deaths,80+,3917,42.6%,2640,28.7%,0,0.0%,6557,71.3%
deaths,70-79,690,7.5%,981,10.7%,0,0.0%,1671,18.2%
deaths,60-69,253,2.8%,413,4.5%,0,0.0%,666,7.2%
deaths,50-59,91,1.0%,130,1.4%,0,0.0%,221,2.4%
deaths,40-49,15,0.2%,36,0.4%,0,0.0%,51,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,4974,54.1%,4218,45.9%,0,0.0%,9192,100.0%
