severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2229,18.8%,1550,13.1%,0,0.0%,3779,31.9%
hospitalization,70-79,1088,9.2%,1335,11.3%,0,0.0%,2423,20.5%
hospitalization,60-69,787,6.6%,1210,10.2%,0,0.0%,1997,16.9%
hospitalization,50-59,663,5.6%,977,8.3%,1,0.0%,1641,13.9%
hospitalization,40-49,397,3.4%,497,4.2%,0,0.0%,894,7.6%
hospitalization,30-39,285,2.4%,299,2.5%,0,0.0%,584,4.9%
hospitalization,20-29,207,1.7%,152,1.3%,0,0.0%,359,3.0%
hospitalization,0-19,86,0.7%,76,0.6%,0,0.0%,162,1.4%
hospitalization,total,5742,48.5%,6096,51.5%,1,0.0%,11839,100.0%
icu,80+,147,6.1%,134,5.5%,0,0.0%,281,11.6%
icu,70-79,198,8.2%,356,14.7%,0,0.0%,554,22.9%
icu,60-69,195,8.1%,408,16.9%,0,0.0%,603,24.9%
icu,50-59,177,7.3%,327,13.5%,0,0.0%,504,20.9%
icu,40-49,92,3.8%,140,5.8%,0,0.0%,232,9.6%
icu,30-39,47,1.9%,74,3.1%,0,0.0%,121,5.0%
icu,20-29,49,2.0%,41,1.7%,0,0.0%,90,3.7%
icu,0-19,14,0.6%,18,0.7%,0,0.0%,32,1.3%
icu,total,919,38.0%,1498,62.0%,0,0.0%,2417,100.0%
deaths,80+,3903,42.6%,2629,28.7%,0,0.0%,6532,71.3%
deaths,70-79,686,7.5%,978,10.7%,0,0.0%,1664,18.2%
deaths,60-69,253,2.8%,413,4.5%,0,0.0%,666,7.3%
deaths,50-59,90,1.0%,130,1.4%,0,0.0%,220,2.4%
deaths,40-49,15,0.2%,36,0.4%,0,0.0%,51,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,4955,54.1%,4204,45.9%,0,0.0%,9159,100.0%
