severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2204,19.1%,1527,13.2%,0,0.0%,3731,32.4%
hospitalization,70-79,1065,9.2%,1300,11.3%,0,0.0%,2365,20.5%
hospitalization,60-69,764,6.6%,1170,10.1%,0,0.0%,1934,16.8%
hospitalization,50-59,644,5.6%,942,8.2%,1,0.0%,1587,13.8%
hospitalization,40-49,380,3.3%,482,4.2%,0,0.0%,862,7.5%
hospitalization,30-39,269,2.3%,286,2.5%,0,0.0%,555,4.8%
hospitalization,20-29,199,1.7%,148,1.3%,0,0.0%,347,3.0%
hospitalization,0-19,81,0.7%,70,0.6%,0,0.0%,151,1.3%
hospitalization,total,5606,48.6%,5925,51.4%,1,0.0%,11532,100.0%
icu,80+,145,6.2%,129,5.5%,0,0.0%,274,11.7%
icu,70-79,197,8.4%,349,14.9%,0,0.0%,546,23.2%
icu,60-69,191,8.1%,394,16.8%,0,0.0%,585,24.9%
icu,50-59,171,7.3%,315,13.4%,0,0.0%,486,20.7%
icu,40-49,86,3.7%,140,6.0%,0,0.0%,226,9.6%
icu,30-39,45,1.9%,70,3.0%,0,0.0%,115,4.9%
icu,20-29,48,2.0%,41,1.7%,0,0.0%,89,3.8%
icu,0-19,13,0.6%,16,0.7%,0,0.0%,29,1.2%
icu,total,896,38.1%,1454,61.9%,0,0.0%,2350,100.0%
deaths,80+,3846,42.7%,2580,28.7%,0,0.0%,6426,71.4%
deaths,70-79,677,7.5%,958,10.6%,0,0.0%,1635,18.2%
deaths,60-69,247,2.7%,405,4.5%,0,0.0%,652,7.2%
deaths,50-59,86,1.0%,125,1.4%,0,0.0%,211,2.3%
deaths,40-49,15,0.2%,36,0.4%,0,0.0%,51,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,0,0.0%,0,0.0%,1,0.0%
deaths,total,4879,54.2%,4121,45.8%,0,0.0%,9000,100.0%
