severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2436,17.7%,1777,12.9%,0,0.0%,4213,30.6%
hospitalization,70-79,1262,9.2%,1586,11.5%,0,0.0%,2848,20.7%
hospitalization,60-69,940,6.8%,1464,10.6%,0,0.0%,2404,17.5%
hospitalization,50-59,754,5.5%,1151,8.4%,1,0.0%,1906,13.9%
hospitalization,40-49,477,3.5%,591,4.3%,0,0.0%,1068,7.8%
hospitalization,30-39,343,2.5%,351,2.6%,0,0.0%,694,5.0%
hospitalization,20-29,243,1.8%,182,1.3%,0,0.0%,425,3.1%
hospitalization,0-19,106,0.8%,97,0.7%,0,0.0%,203,1.5%
hospitalization,total,6561,47.7%,7199,52.3%,1,0.0%,13761,100.0%
icu,80+,206,6.2%,221,6.6%,0,0.0%,427,12.8%
icu,70-79,280,8.4%,514,15.5%,0,0.0%,794,23.9%
icu,60-69,273,8.2%,565,17.0%,0,0.0%,838,25.2%
icu,50-59,221,6.6%,432,13.0%,0,0.0%,653,19.6%
icu,40-49,117,3.5%,187,5.6%,0,0.0%,304,9.1%
icu,30-39,68,2.0%,92,2.8%,0,0.0%,160,4.8%
icu,20-29,58,1.7%,47,1.4%,0,0.0%,105,3.2%
icu,0-19,20,0.6%,25,0.8%,0,0.0%,45,1.4%
icu,total,1243,37.4%,2083,62.6%,0,0.0%,3326,100.0%
deaths,80+,4093,42.1%,2823,29.0%,0,0.0%,6916,71.2%
deaths,70-79,737,7.6%,1034,10.6%,0,0.0%,1771,18.2%
deaths,60-69,271,2.8%,444,4.6%,0,0.0%,715,7.4%
deaths,50-59,98,1.0%,136,1.4%,0,0.0%,234,2.4%
deaths,40-49,16,0.2%,38,0.4%,0,0.0%,54,0.6%
deaths,30-39,5,0.1%,11,0.1%,0,0.0%,16,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5224,53.8%,4494,46.2%,0,0.0%,9718,100.0%
