severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3484,19.0%,2637,14.4%,0,0.0%,6121,33.5%
hospitalization,70-79,1682,9.2%,2093,11.4%,0,0.0%,3775,20.6%
hospitalization,60-69,1173,6.4%,1831,10.0%,0,0.0%,3004,16.4%
hospitalization,50-59,922,5.0%,1447,7.9%,1,0.0%,2370,13.0%
hospitalization,40-49,574,3.1%,745,4.1%,0,0.0%,1319,7.2%
hospitalization,30-39,463,2.5%,427,2.3%,0,0.0%,890,4.9%
hospitalization,20-29,327,1.8%,222,1.2%,0,0.0%,549,3.0%
hospitalization,0-19,133,0.7%,133,0.7%,0,0.0%,266,1.5%
hospitalization,total,8758,47.9%,9535,52.1%,1,0.0%,18294,100.0%
icu,80+,244,6.6%,263,7.1%,0,0.0%,507,13.6%
icu,70-79,322,8.6%,585,15.7%,0,0.0%,907,24.4%
icu,60-69,302,8.1%,631,16.9%,0,0.0%,933,25.1%
icu,50-59,239,6.4%,466,12.5%,0,0.0%,705,18.9%
icu,40-49,125,3.4%,210,5.6%,0,0.0%,335,9.0%
icu,30-39,73,2.0%,101,2.7%,0,0.0%,174,4.7%
icu,20-29,62,1.7%,53,1.4%,0,0.0%,115,3.1%
icu,0-19,21,0.6%,26,0.7%,0,0.0%,47,1.3%
icu,total,1388,37.3%,2335,62.7%,0,0.0%,3723,100.0%
deaths,80+,4468,41.7%,3137,29.3%,0,0.0%,7605,71.0%
deaths,70-79,823,7.7%,1151,10.7%,0,0.0%,1974,18.4%
deaths,60-69,297,2.8%,482,4.5%,0,0.0%,779,7.3%
deaths,50-59,112,1.0%,150,1.4%,0,0.0%,262,2.4%
deaths,40-49,22,0.2%,43,0.4%,0,0.0%,65,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5732,53.5%,4982,46.5%,0,0.0%,10714,100.0%
