severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,4027,18.9%,3138,14.8%,0,0.0%,7165,33.7%
hospitalization,70-79,1987,9.3%,2465,11.6%,0,0.0%,4452,20.9%
hospitalization,60-69,1371,6.5%,2115,10.0%,0,0.0%,3486,16.4%
hospitalization,50-59,"1,083",5.1%,1641,7.7%,1,0.0%,2725,12.8%
hospitalization,40-49,644,3.0%,854,4.0%,0,0.0%,1498,7.0%
hospitalization,30-39,517,2.4%,492,2.3%,0,0.0%,1009,4.7%
hospitalization,20-29,376,1.8%,248,1.2%,0,0.0%,624,2.9%
hospitalization,0-19,148,0.7%,148,0.7%,0,0.0%,296,1.4%
hospitalization,total,10153,47.8%,11101,52.2%,1,0.0%,21255,100.0%
icu,80+,274,6.5%,308,7.4%,0,0.0%,582,13.9%
icu,70-79,367,8.8%,665,15.9%,0,0.0%,1032,24.6%
icu,60-69,347,8.3%,723,17.3%,0,0.0%,1070,25.5%
icu,50-59,268,6.4%,503,12.0%,0,0.0%,771,18.4%
icu,40-49,133,3.2%,234,5.6%,0,0.0%,367,8.8%
icu,30-39,78,1.9%,115,2.7%,0,0.0%,193,4.6%
icu,20-29,66,1.6%,57,1.4%,0,0.0%,123,2.9%
icu,0-19,22,0.5%,28,0.7%,0,0.0%,50,1.2%
icu,total,1555,37.1%,2633,62.9%,0,0.0%,4188,100.0%
deaths,80+,4773,41.4%,3396,29.5%,0,0.0%,8169,70.9%
deaths,70-79,888,7.7%,1239,10.8%,0,0.0%,2127,18.5%
deaths,60-69,321,2.8%,516,4.5%,0,0.0%,837,7.3%
deaths,50-59,122,1.1%,157,1.4%,0,0.0%,279,2.4%
deaths,40-49,24,0.2%,46,0.4%,0,0.0%,70,0.6%
deaths,30-39,7,0.1%,16,0.1%,0,0.0%,23,0.2%
deaths,20-29,3,0.0%,9,0.1%,0,0.0%,12,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,6139,53.3%,5380,46.7%,0,0.0%,11519,100.0%
