severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2394,17.9%,1732,13.0%,0,0.0%,4126,30.9%
hospitalization,70-79,1228,9.2%,1533,11.5%,0,0.0%,2761,20.6%
hospitalization,60-69,914,6.8%,1409,10.5%,0,0.0%,2323,17.4%
hospitalization,50-59,733,5.5%,1121,8.4%,1,0.0%,1855,13.9%
hospitalization,40-49,459,3.4%,565,4.2%,0,0.0%,1024,7.7%
hospitalization,30-39,334,2.5%,345,2.6%,0,0.0%,679,5.1%
hospitalization,20-29,236,1.8%,175,1.3%,0,0.0%,411,3.1%
hospitalization,0-19,104,0.8%,91,0.7%,0,0.0%,195,1.5%
hospitalization,total,6402,47.9%,6971,52.1%,1,0.0%,13374,100.0%
icu,80+,197,6.1%,210,6.5%,0,0.0%,407,12.7%
icu,70-79,277,8.6%,487,15.1%,0,0.0%,764,23.8%
icu,60-69,264,8.2%,538,16.7%,0,0.0%,802,24.9%
icu,50-59,217,6.7%,427,13.3%,0,0.0%,644,20.0%
icu,40-49,114,3.5%,180,5.6%,0,0.0%,294,9.1%
icu,30-39,65,2.0%,92,2.9%,0,0.0%,157,4.9%
icu,20-29,58,1.8%,47,1.5%,0,0.0%,105,3.3%
icu,0-19,20,0.6%,23,0.7%,0,0.0%,43,1.3%
icu,total,1212,37.7%,2004,62.3%,0,0.0%,3216,100.0%
deaths,80+,4078,42.3%,2805,29.1%,0,0.0%,6883,71.3%
deaths,70-79,731,7.6%,1020,10.6%,0,0.0%,1751,18.1%
deaths,60-69,267,2.8%,435,4.5%,0,0.0%,702,7.3%
deaths,50-59,97,1.0%,135,1.4%,0,0.0%,232,2.4%
deaths,40-49,16,0.2%,38,0.4%,0,0.0%,54,0.6%
deaths,30-39,5,0.1%,11,0.1%,0,0.0%,16,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5198,53.9%,4451,46.1%,0,0.0%,9649,100.0%
