severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3302,19.2%,2458,14.3%,0,0.0%,5760,33.4%
hospitalization,70-79,1564,9.1%,1960,11.4%,0,0.0%,3524,20.4%
hospitalization,60-69,1114,6.5%,1734,10.1%,0,0.0%,2848,16.5%
hospitalization,50-59,873,5.1%,1369,7.9%,1,0.0%,2243,13.0%
hospitalization,40-49,539,3.1%,720,4.2%,0,0.0%,1259,7.3%
hospitalization,30-39,432,2.5%,403,2.3%,0,0.0%,835,4.8%
hospitalization,20-29,307,1.8%,208,1.2%,0,0.0%,515,3.0%
hospitalization,0-19,127,0.7%,122,0.7%,0,0.0%,249,1.4%
hospitalization,total,8258,47.9%,8974,52.1%,1,0.0%,17233,100.0%
icu,80+,233,6.5%,247,6.9%,0,0.0%,480,13.4%
icu,70-79,300,8.4%,562,15.7%,0,0.0%,862,24.1%
icu,60-69,296,8.3%,608,17.0%,0,0.0%,904,25.3%
icu,50-59,231,6.5%,452,12.6%,0,0.0%,683,19.1%
icu,40-49,121,3.4%,203,5.7%,0,0.0%,324,9.1%
icu,30-39,72,2.0%,98,2.7%,0,0.0%,170,4.7%
icu,20-29,60,1.7%,49,1.4%,0,0.0%,109,3.0%
icu,0-19,21,0.6%,26,0.7%,0,0.0%,47,1.3%
icu,total,1334,37.3%,2245,62.7%,0,0.0%,3579,100.0%
deaths,80+,4296,41.7%,3000,29.2%,0,0.0%,7296,70.9%
deaths,70-79,791,7.7%,1104,10.7%,0,0.0%,1895,18.4%
deaths,60-69,287,2.8%,469,4.6%,0,0.0%,756,7.3%
deaths,50-59,107,1.0%,145,1.4%,0,0.0%,252,2.4%
deaths,40-49,21,0.2%,42,0.4%,0,0.0%,63,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5512,53.6%,4779,46.4%,0,0.0%,10291,100.0%
