severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3696,18.9%,2854,14.6%,0,0.0%,6550,33.5%
hospitalization,70-79,1811,9.3%,2260,11.6%,0,0.0%,4071,20.8%
hospitalization,60-69,1250,6.4%,1937,9.9%,0,0.0%,3187,16.3%
hospitalization,50-59,995,5.1%,1525,7.8%,1,0.0%,2521,12.9%
hospitalization,40-49,603,3.1%,801,4.1%,0,0.0%,1404,7.2%
hospitalization,30-39,484,2.5%,467,2.4%,0,0.0%,951,4.9%
hospitalization,20-29,354,1.8%,236,1.2%,0,0.0%,590,3.0%
hospitalization,0-19,141,0.7%,143,0.7%,0,0.0%,284,1.5%
hospitalization,total,9334,47.7%,10223,52.3%,1,0.0%,19558,100.0%
icu,80+,258,6.5%,288,7.3%,0,0.0%,546,13.8%
icu,70-79,346,8.7%,621,15.7%,0,0.0%,967,24.4%
icu,60-69,329,8.3%,668,16.9%,0,0.0%,997,25.2%
icu,50-59,254,6.4%,488,12.3%,0,0.0%,742,18.8%
icu,40-49,130,3.3%,221,5.6%,0,0.0%,351,8.9%
icu,30-39,76,1.9%,109,2.8%,0,0.0%,185,4.7%
icu,20-29,64,1.6%,55,1.4%,0,0.0%,119,3.0%
icu,0-19,21,0.5%,28,0.7%,0,0.0%,49,1.2%
icu,total,1478,37.4%,2478,62.6%,0,0.0%,3956,100.0%
deaths,80+,4649,41.6%,3287,29.4%,0,0.0%,7936,71.0%
deaths,70-79,858,7.7%,1202,10.7%,0,0.0%,2060,18.4%
deaths,60-69,313,2.8%,498,4.5%,0,0.0%,811,7.3%
deaths,50-59,118,1.1%,156,1.4%,0,0.0%,274,2.5%
deaths,40-49,23,0.2%,44,0.4%,0,0.0%,67,0.6%
deaths,30-39,7,0.1%,14,0.1%,0,0.0%,21,0.2%
deaths,20-29,3,0.0%,9,0.1%,0,0.0%,12,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5972,53.4%,5211,46.6%,0,0.0%,11183,100.0%
