severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2272,18.6%,1601,13.1%,0,0.0%,3873,31.7%
hospitalization,70-79,1121,9.2%,1376,11.3%,0,0.0%,2497,20.4%
hospitalization,60-69,816,6.7%,1256,10.3%,0,0.0%,2072,16.9%
hospitalization,50-59,674,5.5%,1007,8.2%,1,0.0%,1682,13.8%
hospitalization,40-49,413,3.4%,518,4.2%,0,0.0%,931,7.6%
hospitalization,30-39,307,2.5%,317,2.6%,0,0.0%,624,5.1%
hospitalization,20-29,217,1.8%,160,1.3%,0,0.0%,377,3.1%
hospitalization,0-19,89,0.7%,80,0.7%,0,0.0%,169,1.4%
hospitalization,total,5909,48.3%,6315,51.7%,1,0.0%,12225,100.0%
icu,80+,150,6.0%,139,5.6%,0,0.0%,289,11.6%
icu,70-79,205,8.3%,369,14.9%,0,0.0%,574,23.1%
icu,60-69,201,8.1%,419,16.9%,0,0.0%,620,25.0%
icu,50-59,179,7.2%,336,13.5%,0,0.0%,515,20.7%
icu,40-49,92,3.7%,146,5.9%,0,0.0%,238,9.6%
icu,30-39,50,2.0%,75,3.0%,0,0.0%,125,5.0%
icu,20-29,49,2.0%,42,1.7%,0,0.0%,91,3.7%
icu,0-19,14,0.6%,18,0.7%,0,0.0%,32,1.3%
icu,total,940,37.8%,1544,62.2%,0,0.0%,2484,100.0%
deaths,80+,3961,42.4%,2694,28.9%,0,0.0%,6655,71.3%
deaths,70-79,700,7.5%,997,10.7%,0,0.0%,1697,18.2%
deaths,60-69,257,2.8%,422,4.5%,0,0.0%,679,7.3%
deaths,50-59,93,1.0%,131,1.4%,0,0.0%,224,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,4,0.0%,6,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,2,0.0%,0,0.0%,3,0.0%
deaths,total,5036,53.9%,4299,46.1%,0,0.0%,9335,100.0%
