severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3425,19.1%,2595,14.5%,0,0.0%,6020,33.6%
hospitalization,70-79,1648,9.2%,2055,11.5%,0,0.0%,3703,20.6%
hospitalization,60-69,1146,6.4%,1797,10.0%,0,0.0%,2943,16.4%
hospitalization,50-59,905,5.0%,1413,7.9%,1,0.0%,2319,12.9%
hospitalization,40-49,558,3.1%,735,4.1%,0,0.0%,1293,7.2%
hospitalization,30-39,449,2.5%,414,2.3%,0,0.0%,863,4.8%
hospitalization,20-29,319,1.8%,216,1.2%,0,0.0%,535,3.0%
hospitalization,0-19,132,0.7%,126,0.7%,0,0.0%,258,1.4%
hospitalization,total,8582,47.9%,9351,52.1%,1,0.0%,17934,100.0%
icu,80+,243,6.6%,259,7.0%,0,0.0%,502,13.6%
icu,70-79,314,8.5%,579,15.7%,0,0.0%,893,24.3%
icu,60-69,299,8.1%,621,16.9%,0,0.0%,920,25.0%
icu,50-59,237,6.4%,463,12.6%,0,0.0%,700,19.0%
icu,40-49,122,3.3%,207,5.6%,0,0.0%,329,8.9%
icu,30-39,73,2.0%,101,2.7%,0,0.0%,174,4.7%
icu,20-29,61,1.7%,53,1.4%,0,0.0%,114,3.1%
icu,0-19,21,0.6%,26,0.7%,0,0.0%,47,1.3%
icu,total,1370,37.2%,2309,62.8%,0,0.0%,3679,100.0%
deaths,80+,4422,41.8%,3094,29.2%,0,0.0%,7516,71.0%
deaths,70-79,813,7.7%,1133,10.7%,0,0.0%,1946,18.4%
deaths,60-69,294,2.8%,475,4.5%,0,0.0%,769,7.3%
deaths,50-59,110,1.0%,147,1.4%,0,0.0%,257,2.4%
deaths,40-49,22,0.2%,42,0.4%,0,0.0%,64,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5671,53.6%,4910,46.4%,0,0.0%,10581,100.0%
