severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2211,19.0%,1534,13.2%,0,0.0%,3745,32.2%
hospitalization,70-79,1079,9.3%,1307,11.2%,0,0.0%,2386,20.5%
hospitalization,60-69,771,6.6%,1181,10.2%,0,0.0%,1952,16.8%
hospitalization,50-59,650,5.6%,956,8.2%,1,0.0%,1607,13.8%
hospitalization,40-49,385,3.3%,491,4.2%,0,0.0%,876,7.5%
hospitalization,30-39,272,2.3%,289,2.5%,0,0.0%,561,4.8%
hospitalization,20-29,200,1.7%,149,1.3%,0,0.0%,349,3.0%
hospitalization,0-19,81,0.7%,72,0.6%,0,0.0%,153,1.3%
hospitalization,total,5649,48.6%,5979,51.4%,1,0.0%,11629,100.0%
icu,80+,145,6.1%,130,5.5%,0,0.0%,275,11.6%
icu,70-79,197,8.3%,351,14.8%,0,0.0%,548,23.2%
icu,60-69,191,8.1%,397,16.8%,0,0.0%,588,24.9%
icu,50-59,172,7.3%,320,13.5%,0,0.0%,492,20.8%
icu,40-49,87,3.7%,140,5.9%,0,0.0%,227,9.6%
icu,30-39,45,1.9%,72,3.0%,0,0.0%,117,4.9%
icu,20-29,48,2.0%,41,1.7%,0,0.0%,89,3.8%
icu,0-19,13,0.5%,17,0.7%,0,0.0%,30,1.3%
icu,total,898,38.0%,1468,62.0%,0,0.0%,2366,100.0%
deaths,80+,3848,42.7%,2585,28.7%,0,0.0%,6433,71.4%
deaths,70-79,678,7.5%,959,10.6%,0,0.0%,1637,18.2%
deaths,60-69,248,2.8%,405,4.5%,0,0.0%,653,7.2%
deaths,50-59,86,1.0%,125,1.4%,0,0.0%,211,2.3%
deaths,40-49,15,0.2%,37,0.4%,0,0.0%,52,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,0,0.0%,0,0.0%,1,0.0%
deaths,total,4883,54.2%,4128,45.8%,0,0.0%,9011,100.0%
