severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2369,18.1%,1699,13.0%,0,0.0%,4068,31.1%
hospitalization,70-79,1212,9.3%,1490,11.4%,0,0.0%,2702,20.6%
hospitalization,60-69,890,6.8%,1358,10.4%,0,0.0%,2248,17.2%
hospitalization,50-59,717,5.5%,1101,8.4%,1,0.0%,1819,13.9%
hospitalization,40-49,446,3.4%,555,4.2%,0,0.0%,1001,7.6%
hospitalization,30-39,328,2.5%,338,2.6%,0,0.0%,666,5.1%
hospitalization,20-29,232,1.8%,173,1.3%,0,0.0%,405,3.1%
hospitalization,0-19,97,0.7%,87,0.7%,0,0.0%,184,1.4%
hospitalization,total,6291,48.0%,6801,51.9%,1,0.0%,13093,100.0%
icu,80+,189,6.1%,198,6.4%,0,0.0%,387,12.6%
icu,70-79,264,8.6%,460,14.9%,0,0.0%,724,23.5%
icu,60-69,250,8.1%,509,16.5%,0,0.0%,759,24.6%
icu,50-59,211,6.9%,418,13.6%,0,0.0%,629,20.4%
icu,40-49,110,3.6%,174,5.6%,0,0.0%,284,9.2%
icu,30-39,63,2.0%,88,2.9%,0,0.0%,151,4.9%
icu,20-29,58,1.9%,47,1.5%,0,0.0%,105,3.4%
icu,0-19,19,0.6%,22,0.7%,0,0.0%,41,1.3%
icu,total,1164,37.8%,1916,62.2%,0,0.0%,3080,100.0%
deaths,80+,4029,42.4%,2755,29.0%,0,0.0%,6784,71.3%
deaths,70-79,719,7.6%,1006,10.6%,0,0.0%,1725,18.1%
deaths,60-69,263,2.8%,434,4.6%,0,0.0%,697,7.3%
deaths,50-59,96,1.0%,132,1.4%,0,0.0%,228,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.5%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,4,0.0%,6,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5132,53.9%,4381,46.1%,0,0.0%,9513,100.0%
