severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,4320,18.8%,3411,14.9%,0,0.0%,7731,33.7%
hospitalization,70-79,2144,9.3%,2672,11.7%,0,0.0%,4816,21.0%
hospitalization,60-69,1481,6.5%,2294,10.0%,0,0.0%,3775,16.5%
hospitalization,50-59,1154,5.0%,1749,7.6%,1,0.0%,2904,12.7%
hospitalization,40-49,687,3.0%,916,4.0%,0,0.0%,1603,7.0%
hospitalization,30-39,571,2.5%,525,2.3%,0,0.0%,1096,4.8%
hospitalization,20-29,417,1.8%,270,1.2%,0,0.0%,687,3.0%
hospitalization,0-19,162,0.7%,160,0.7%,0,0.0%,322,1.4%
hospitalization,total,10936,47.7%,11997,52.3%,1,0.0%,22934,100.0%
icu,80+,282,6.4%,333,7.5%,0,0.0%,615,13.9%
icu,70-79,386,8.7%,709,16.1%,0,0.0%,1095,24.8%
icu,60-69,368,8.3%,767,17.4%,0,0.0%,1135,25.7%
icu,50-59,276,6.3%,524,11.9%,0,0.0%,800,18.1%
icu,40-49,144,3.3%,240,5.4%,0,0.0%,384,8.7%
icu,30-39,83,1.9%,121,2.7%,0,0.0%,204,4.6%
icu,20-29,72,1.6%,59,1.3%,0,0.0%,131,3.0%
icu,0-19,22,0.5%,28,0.6%,0,0.0%,50,1.1%
icu,total,1633,37.0%,2781,63.0%,0,0.0%,4414,100.0%
deaths,80+,4992,41.1%,3611,29.7%,0,0.0%,8603,70.9%
deaths,70-79,931,7.7%,1308,10.8%,0,0.0%,2239,18.4%
deaths,60-69,335,2.8%,556,4.6%,0,0.0%,891,7.3%
deaths,50-59,127,1.0%,167,1.4%,0,0.0%,294,2.4%
deaths,40-49,25,0.2%,48,0.4%,0,0.0%,73,0.6%
deaths,30-39,7,0.1%,18,0.1%,0,0.0%,25,0.2%
deaths,20-29,4,0.0%,8,0.1%,0,0.0%,12,0.1%
deaths,0-19,1,0.0%,2,0.0%,0,0.0%,3,0.0%
deaths,total,6422,52.9%,5718,47.1%,0,0.0%,12140,100.0%
