severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2368,18.2%,1694,13.0%,0,0.0%,4062,31.1%
hospitalization,70-79,1203,9.2%,1483,11.4%,0,0.0%,2686,20.6%
hospitalization,60-69,886,6.8%,1351,10.4%,0,0.0%,2237,17.2%
hospitalization,50-59,713,5.5%,1096,8.4%,1,0.0%,1810,13.9%
hospitalization,40-49,444,3.4%,554,4.2%,0,0.0%,998,7.7%
hospitalization,30-39,328,2.5%,334,2.6%,0,0.0%,662,5.1%
hospitalization,20-29,232,1.8%,172,1.3%,0,0.0%,404,3.1%
hospitalization,0-19,96,0.7%,87,0.7%,0,0.0%,183,1.4%
hospitalization,total,6270,48.1%,6771,51.9%,1,0.0%,13042,100.0%
icu,80+,189,6.2%,195,6.4%,0,0.0%,384,12.5%
icu,70-79,263,8.6%,458,14.9%,0,0.0%,721,23.5%
icu,60-69,249,8.1%,504,16.4%,0,0.0%,753,24.6%
icu,50-59,211,6.9%,415,13.5%,0,0.0%,626,20.4%
icu,40-49,110,3.6%,174,5.7%,0,0.0%,284,9.3%
icu,30-39,63,2.1%,87,2.8%,0,0.0%,150,4.9%
icu,20-29,58,1.9%,47,1.5%,0,0.0%,105,3.4%
icu,0-19,19,0.6%,22,0.7%,0,0.0%,41,1.3%
icu,total,1162,37.9%,1902,62.1%,0,0.0%,3064,100.0%
deaths,80+,4028,42.4%,2752,29.0%,0,0.0%,6780,71.3%
deaths,70-79,719,7.6%,1006,10.6%,0,0.0%,1725,18.1%
deaths,60-69,263,2.8%,432,4.5%,0,0.0%,695,7.3%
deaths,50-59,95,1.0%,132,1.4%,0,0.0%,227,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.5%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,4,0.0%,6,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5130,54.0%,4376,46.0%,0,0.0%,9506,100.0%
