severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3190,19.4%,2341,14.2%,0,0.0%,5531,33.6%
hospitalization,70-79,1499,9.1%,1877,11.4%,0,0.0%,3376,20.5%
hospitalization,60-69,1068,6.5%,1659,10.1%,0,0.0%,2727,16.5%
hospitalization,50-59,838,5.1%,1310,7.9%,1,0.0%,2149,13.0%
hospitalization,40-49,517,3.1%,686,4.2%,0,0.0%,1203,7.3%
hospitalization,30-39,407,2.5%,371,2.3%,0,0.0%,778,4.7%
hospitalization,20-29,290,1.8%,195,1.2%,0,0.0%,485,2.9%
hospitalization,0-19,117,0.7%,112,0.7%,0,0.0%,229,1.4%
hospitalization,total,7926,48.1%,8551,51.9%,1,0.0%,16478,100.0%
icu,80+,225,6.5%,236,6.8%,0,0.0%,461,13.3%
icu,70-79,294,8.5%,542,15.7%,0,0.0%,836,24.2%
icu,60-69,283,8.2%,588,17.0%,0,0.0%,871,25.2%
icu,50-59,226,6.5%,438,12.7%,0,0.0%,664,19.2%
icu,40-49,116,3.4%,196,5.7%,0,0.0%,312,9.0%
icu,30-39,69,2.0%,93,2.7%,0,0.0%,162,4.7%
icu,20-29,59,1.7%,47,1.4%,0,0.0%,106,3.1%
icu,0-19,21,0.6%,26,0.8%,0,0.0%,47,1.4%
icu,total,1293,37.4%,2166,62.6%,0,0.0%,3459,100.0%
deaths,80+,4214,42.0%,2914,29.0%,0,0.0%,7128,71.0%
deaths,70-79,769,7.7%,1074,10.7%,0,0.0%,1843,18.4%
deaths,60-69,278,2.8%,457,4.6%,0,0.0%,735,7.3%
deaths,50-59,104,1.0%,139,1.4%,0,0.0%,243,2.4%
deaths,40-49,20,0.2%,42,0.4%,0,0.0%,62,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5395,53.7%,4645,46.3%,0,0.0%,10040,100.0%
