severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2226,18.8%,1547,13.1%,0,0.0%,3773,31.9%
hospitalization,70-79,1086,9.2%,1332,11.3%,0,0.0%,2418,20.5%
hospitalization,60-69,787,6.7%,1208,10.2%,0,0.0%,1995,16.9%
hospitalization,50-59,661,5.6%,975,8.3%,1,0.0%,1637,13.9%
hospitalization,40-49,396,3.4%,496,4.2%,0,0.0%,892,7.5%
hospitalization,30-39,285,2.4%,298,2.5%,0,0.0%,583,4.9%
hospitalization,20-29,206,1.7%,153,1.3%,0,0.0%,359,3.0%
hospitalization,0-19,86,0.7%,75,0.6%,0,0.0%,161,1.4%
hospitalization,total,5733,48.5%,6084,51.5%,1,0.0%,11818,100.0%
icu,80+,146,6.1%,133,5.5%,0,0.0%,279,11.6%
icu,70-79,197,8.2%,355,14.7%,0,0.0%,552,22.9%
icu,60-69,195,8.1%,407,16.9%,0,0.0%,602,25.0%
icu,50-59,177,7.3%,325,13.5%,0,0.0%,502,20.8%
icu,40-49,92,3.8%,140,5.8%,0,0.0%,232,9.6%
icu,30-39,47,1.9%,74,3.1%,0,0.0%,121,5.0%
icu,20-29,49,2.0%,42,1.7%,0,0.0%,91,3.8%
icu,0-19,14,0.6%,18,0.7%,0,0.0%,32,1.3%
icu,total,917,38.0%,1494,62.0%,0,0.0%,2411,100.0%
deaths,80+,3901,42.6%,2627,28.7%,0,0.0%,6528,71.3%
deaths,70-79,686,7.5%,978,10.7%,0,0.0%,1664,18.2%
deaths,60-69,253,2.8%,412,4.5%,0,0.0%,665,7.3%
deaths,50-59,90,1.0%,130,1.4%,0,0.0%,220,2.4%
deaths,40-49,15,0.2%,36,0.4%,0,0.0%,51,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,4953,54.1%,4201,45.9%,0,0.0%,9154,100.0%
