severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2251,18.6%,1577,13.1%,0,0.0%,3828,31.7%
hospitalization,70-79,1107,9.2%,1361,11.3%,0,0.0%,2468,20.4%
hospitalization,60-69,809,6.7%,1241,10.3%,0,0.0%,2050,17.0%
hospitalization,50-59,672,5.6%,998,8.3%,1,0.0%,1671,13.8%
hospitalization,40-49,408,3.4%,513,4.2%,0,0.0%,921,7.6%
hospitalization,30-39,295,2.4%,310,2.6%,0,0.0%,605,5.0%
hospitalization,20-29,213,1.8%,157,1.3%,0,0.0%,370,3.1%
hospitalization,0-19,88,0.7%,79,0.7%,0,0.0%,167,1.4%
hospitalization,total,5843,48.4%,6236,51.6%,1,0.0%,12080,100.0%
icu,80+,147,6.0%,136,5.5%,0,0.0%,283,11.5%
icu,70-79,203,8.3%,367,14.9%,0,0.0%,570,23.2%
icu,60-69,199,8.1%,414,16.8%,0,0.0%,613,24.9%
icu,50-59,179,7.3%,332,13.5%,0,0.0%,511,20.8%
icu,40-49,92,3.7%,143,5.8%,0,0.0%,235,9.6%
icu,30-39,48,2.0%,74,3.0%,0,0.0%,122,5.0%
icu,20-29,49,2.0%,42,1.7%,0,0.0%,91,3.7%
icu,0-19,14,0.6%,18,0.7%,0,0.0%,32,1.3%
icu,total,931,37.9%,1526,62.1%,0,0.0%,2457,100.0%
deaths,80+,3927,42.5%,2659,28.8%,0,0.0%,6586,71.3%
deaths,70-79,695,7.5%,986,10.7%,0,0.0%,1681,18.2%
deaths,60-69,255,2.8%,416,4.5%,0,0.0%,671,7.3%
deaths,50-59,92,1.0%,130,1.4%,0,0.0%,222,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,4,0.0%,6,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,4994,54.1%,4245,45.9%,0,0.0%,9239,100.0%
