severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3138,19.4%,2306,14.2%,0,0.0%,5444,33.6%
hospitalization,70-79,1481,9.1%,1844,11.4%,0,0.0%,3325,20.5%
hospitalization,60-69,1057,6.5%,1622,10.0%,0,0.0%,2679,16.5%
hospitalization,50-59,827,5.1%,1289,8.0%,1,0.0%,2117,13.1%
hospitalization,40-49,511,3.2%,668,4.1%,0,0.0%,1179,7.3%
hospitalization,30-39,395,2.4%,366,2.3%,0,0.0%,761,4.7%
hospitalization,20-29,282,1.7%,189,1.2%,0,0.0%,471,2.9%
hospitalization,0-19,114,0.7%,107,0.7%,0,0.0%,221,1.4%
hospitalization,total,7805,48.2%,8391,51.8%,1,0.0%,16197,100.0%
icu,80+,222,6.5%,234,6.8%,0,0.0%,456,13.3%
icu,70-79,291,8.5%,537,15.7%,0,0.0%,828,24.2%
icu,60-69,281,8.2%,575,16.8%,0,0.0%,856,25.0%
icu,50-59,223,6.5%,438,12.8%,0,0.0%,661,19.3%
icu,40-49,116,3.4%,193,5.6%,0,0.0%,309,9.0%
icu,30-39,67,2.0%,93,2.7%,0,0.0%,160,4.7%
icu,20-29,58,1.7%,47,1.4%,0,0.0%,105,3.1%
icu,0-19,20,0.6%,25,0.7%,0,0.0%,45,1.3%
icu,total,1278,37.4%,2142,62.6%,0,0.0%,3420,100.0%
deaths,80+,4186,42.0%,2894,29.0%,0,0.0%,7080,71.0%
deaths,70-79,763,7.7%,1068,10.7%,0,0.0%,1831,18.4%
deaths,60-69,276,2.8%,454,4.6%,0,0.0%,730,7.3%
deaths,50-59,103,1.0%,138,1.4%,0,0.0%,241,2.4%
deaths,40-49,20,0.2%,40,0.4%,0,0.0%,60,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5358,53.7%,4613,46.3%,0,0.0%,9971,100.0%
