severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2288,18.5%,1619,13.1%,0,0.0%,3907,31.7%
hospitalization,70-79,1130,9.2%,1389,11.3%,0,0.0%,2519,20.4%
hospitalization,60-69,828,6.7%,1268,10.3%,0,0.0%,2096,17.0%
hospitalization,50-59,678,5.5%,1013,8.2%,1,0.0%,1692,13.7%
hospitalization,40-49,417,3.4%,521,4.2%,0,0.0%,938,7.6%
hospitalization,30-39,310,2.5%,320,2.6%,0,0.0%,630,5.1%
hospitalization,20-29,221,1.8%,162,1.3%,0,0.0%,383,3.1%
hospitalization,0-19,90,0.7%,81,0.7%,0,0.0%,171,1.4%
hospitalization,total,5962,48.3%,6373,51.7%,1,0.0%,12336,100.0%
icu,80+,151,6.0%,140,5.6%,0,0.0%,291,11.6%
icu,70-79,206,8.2%,369,14.7%,0,0.0%,575,23.0%
icu,60-69,205,8.2%,424,16.9%,0,0.0%,629,25.1%
icu,50-59,180,7.2%,338,13.5%,0,0.0%,518,20.7%
icu,40-49,93,3.7%,146,5.8%,0,0.0%,239,9.5%
icu,30-39,51,2.0%,76,3.0%,0,0.0%,127,5.1%
icu,20-29,49,2.0%,43,1.7%,0,0.0%,92,3.7%
icu,0-19,14,0.6%,18,0.7%,0,0.0%,32,1.3%
icu,total,949,37.9%,1554,62.1%,0,0.0%,2503,100.0%
deaths,80+,3983,42.4%,2715,28.9%,0,0.0%,6698,71.4%
deaths,70-79,704,7.5%,999,10.6%,0,0.0%,1703,18.1%
deaths,60-69,258,2.7%,424,4.5%,0,0.0%,682,7.3%
deaths,50-59,93,1.0%,131,1.4%,0,0.0%,224,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,4,0.0%,6,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5063,53.9%,4323,46.1%,0,0.0%,9386,100.0%
