severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2253,18.6%,1582,13.1%,0,0.0%,3835,31.7%
hospitalization,70-79,1108,9.2%,1362,11.3%,0,0.0%,2470,20.4%
hospitalization,60-69,810,6.7%,1244,10.3%,0,0.0%,2054,17.0%
hospitalization,50-59,672,5.6%,1001,8.3%,1,0.0%,1674,13.8%
hospitalization,40-49,410,3.4%,516,4.3%,0,0.0%,926,7.6%
hospitalization,30-39,297,2.5%,311,2.6%,0,0.0%,608,5.0%
hospitalization,20-29,213,1.8%,158,1.3%,0,0.0%,371,3.1%
hospitalization,0-19,88,0.7%,80,0.7%,0,0.0%,168,1.4%
hospitalization,total,5851,48.3%,6254,51.7%,1,0.0%,12106,100.0%
icu,80+,147,6.0%,136,5.5%,0,0.0%,283,11.5%
icu,70-79,203,8.2%,367,14.9%,0,0.0%,570,23.1%
icu,60-69,200,8.1%,416,16.9%,0,0.0%,616,25.0%
icu,50-59,179,7.3%,334,13.5%,0,0.0%,513,20.8%
icu,40-49,92,3.7%,145,5.9%,0,0.0%,237,9.6%
icu,30-39,49,2.0%,74,3.0%,0,0.0%,123,5.0%
icu,20-29,49,2.0%,42,1.7%,0,0.0%,91,3.7%
icu,0-19,14,0.6%,18,0.7%,0,0.0%,32,1.3%
icu,total,933,37.8%,1532,62.2%,0,0.0%,2465,100.0%
deaths,80+,3928,42.5%,2661,28.8%,0,0.0%,6589,71.3%
deaths,70-79,695,7.5%,988,10.7%,0,0.0%,1683,18.2%
deaths,60-69,255,2.8%,416,4.5%,0,0.0%,671,7.3%
deaths,50-59,92,1.0%,130,1.4%,0,0.0%,222,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,4,0.0%,6,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,2,0.0%,0,0.0%,3,0.0%
deaths,total,4995,54.0%,4250,46.0%,0,0.0%,9245,100.0%
