severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,4085,18.8%,3207,14.8%,0,0.0%,7292,33.6%
hospitalization,70-79,2021,9.3%,2525,11.6%,0,0.0%,4546,20.9%
hospitalization,60-69,1402,6.5%,2175,10.0%,0,0.0%,3577,16.5%
hospitalization,50-59,1111,5.1%,1679,7.7%,1,0.0%,2791,12.8%
hospitalization,40-49,659,3.0%,873,4.0%,0,0.0%,1532,7.1%
hospitalization,30-39,531,2.4%,505,2.3%,0,0.0%,1036,4.8%
hospitalization,20-29,392,1.8%,255,1.2%,0,0.0%,647,3.0%
hospitalization,0-19,151,0.7%,156,0.7%,0,0.0%,307,1.4%
hospitalization,total,10352,47.6%,11375,52.4%,1,0.0%,21728,100.0%
icu,80+,275,6.5%,315,7.4%,0,0.0%,590,13.8%
icu,70-79,370,8.7%,678,15.9%,0,0.0%,1048,24.6%
icu,60-69,356,8.4%,743,17.4%,0,0.0%,1099,25.8%
icu,50-59,271,6.4%,506,11.9%,0,0.0%,777,18.2%
icu,40-49,137,3.2%,235,5.5%,0,0.0%,372,8.7%
icu,30-39,79,1.9%,119,2.8%,0,0.0%,198,4.6%
icu,20-29,69,1.6%,58,1.4%,0,0.0%,127,3.0%
icu,0-19,22,0.5%,28,0.7%,0,0.0%,50,1.2%
icu,total,1579,37.1%,2682,62.9%,0,0.0%,4261,100.0%
deaths,80+,4810,41.2%,3452,29.6%,0,0.0%,8262,70.8%
deaths,70-79,899,7.7%,1257,10.8%,0,0.0%,2156,18.5%
deaths,60-69,326,2.8%,528,4.5%,0,0.0%,854,7.3%
deaths,50-59,125,1.1%,160,1.4%,0,0.0%,285,2.4%
deaths,40-49,24,0.2%,46,0.4%,0,0.0%,70,0.6%
deaths,30-39,7,0.1%,16,0.1%,0,0.0%,23,0.2%
deaths,20-29,4,0.0%,9,0.1%,0,0.0%,13,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,6196,53.1%,5469,46.9%,0,0.0%,11665,100.0%
