severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2248,18.7%,1574,13.1%,0,0.0%,3822,31.8%
hospitalization,70-79,1102,9.2%,1356,11.3%,0,0.0%,2458,20.4%
hospitalization,60-69,803,6.7%,1236,10.3%,0,0.0%,2039,16.9%
hospitalization,50-59,669,5.6%,993,8.2%,1,0.0%,1663,13.8%
hospitalization,40-49,406,3.4%,511,4.2%,0,0.0%,917,7.6%
hospitalization,30-39,295,2.5%,308,2.6%,0,0.0%,603,5.0%
hospitalization,20-29,213,1.8%,156,1.3%,0,0.0%,369,3.1%
hospitalization,0-19,87,0.7%,79,0.7%,0,0.0%,166,1.4%
hospitalization,total,5823,48.4%,6213,51.6%,1,0.0%,12037,100.0%
icu,80+,147,6.0%,136,5.5%,0,0.0%,283,11.5%
icu,70-79,202,8.2%,365,14.9%,0,0.0%,567,23.1%
icu,60-69,198,8.1%,413,16.9%,0,0.0%,611,24.9%
icu,50-59,178,7.3%,332,13.5%,0,0.0%,510,20.8%
icu,40-49,92,3.8%,143,5.8%,0,0.0%,235,9.6%
icu,30-39,48,2.0%,74,3.0%,0,0.0%,122,5.0%
icu,20-29,49,2.0%,42,1.7%,0,0.0%,91,3.7%
icu,0-19,14,0.6%,18,0.7%,0,0.0%,32,1.3%
icu,total,928,37.9%,1523,62.1%,0,0.0%,2451,100.0%
deaths,80+,3920,42.6%,2647,28.7%,0,0.0%,6567,71.3%
deaths,70-79,693,7.5%,982,10.7%,0,0.0%,1675,18.2%
deaths,60-69,254,2.8%,414,4.5%,0,0.0%,668,7.3%
deaths,50-59,92,1.0%,130,1.4%,0,0.0%,222,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,4983,54.1%,4227,45.9%,0,0.0%,9210,100.0%
