severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2412,17.8%,1759,12.9%,0,0.0%,4171,30.7%
hospitalization,70-79,1245,9.2%,1563,11.5%,0,0.0%,2808,20.7%
hospitalization,60-69,931,6.9%,1442,10.6%,0,0.0%,2373,17.5%
hospitalization,50-59,742,5.5%,1137,8.4%,1,0.0%,1880,13.8%
hospitalization,40-49,469,3.5%,582,4.3%,0,0.0%,1051,7.7%
hospitalization,30-39,339,2.5%,347,2.6%,0,0.0%,686,5.0%
hospitalization,20-29,237,1.7%,179,1.3%,0,0.0%,416,3.1%
hospitalization,0-19,106,0.8%,95,0.7%,0,0.0%,201,1.5%
hospitalization,total,6481,47.7%,7104,52.3%,1,0.0%,13586,100.0%
icu,80+,197,6.0%,216,6.6%,0,0.0%,413,12.7%
icu,70-79,277,8.5%,502,15.4%,0,0.0%,779,23.9%
icu,60-69,268,8.2%,550,16.9%,0,0.0%,818,25.1%
icu,50-59,218,6.7%,430,13.2%,0,0.0%,648,19.9%
icu,40-49,116,3.6%,183,5.6%,0,0.0%,299,9.2%
icu,30-39,66,2.0%,92,2.8%,0,0.0%,158,4.8%
icu,20-29,58,1.8%,47,1.4%,0,0.0%,105,3.2%
icu,0-19,20,0.6%,24,0.7%,0,0.0%,44,1.3%
icu,total,1220,37.4%,2044,62.6%,0,0.0%,3264,100.0%
deaths,80+,4088,42.2%,2815,29.0%,0,0.0%,6903,71.2%
deaths,70-79,735,7.6%,1028,10.6%,0,0.0%,1763,18.2%
deaths,60-69,271,2.8%,442,4.6%,0,0.0%,713,7.4%
deaths,50-59,98,1.0%,135,1.4%,0,0.0%,233,2.4%
deaths,40-49,16,0.2%,38,0.4%,0,0.0%,54,0.6%
deaths,30-39,5,0.1%,11,0.1%,0,0.0%,16,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5217,53.8%,4476,46.2%,0,0.0%,9693,100.0%
