severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2397,17.9%,1734,12.9%,0,0.0%,4131,30.8%
hospitalization,70-79,1231,9.2%,1534,11.5%,0,0.0%,2765,20.6%
hospitalization,60-69,915,6.8%,1412,10.5%,0,0.0%,2327,17.4%
hospitalization,50-59,734,5.5%,1122,8.4%,1,0.0%,1857,13.9%
hospitalization,40-49,459,3.4%,568,4.2%,0,0.0%,1027,7.7%
hospitalization,30-39,334,2.5%,345,2.6%,0,0.0%,679,5.1%
hospitalization,20-29,237,1.8%,175,1.3%,0,0.0%,412,3.1%
hospitalization,0-19,104,0.8%,90,0.7%,0,0.0%,194,1.4%
hospitalization,total,6411,47.9%,6980,52.1%,1,0.0%,13392,100.0%
icu,80+,197,6.1%,210,6.5%,0,0.0%,407,12.6%
icu,70-79,277,8.6%,489,15.2%,0,0.0%,766,23.8%
icu,60-69,265,8.2%,538,16.7%,0,0.0%,803,24.9%
icu,50-59,217,6.7%,427,13.3%,0,0.0%,644,20.0%
icu,40-49,114,3.5%,181,5.6%,0,0.0%,295,9.2%
icu,30-39,65,2.0%,92,2.9%,0,0.0%,157,4.9%
icu,20-29,58,1.8%,47,1.5%,0,0.0%,105,3.3%
icu,0-19,20,0.6%,23,0.7%,0,0.0%,43,1.3%
icu,total,1213,37.7%,2007,62.3%,0,0.0%,3220,100.0%
deaths,80+,4079,42.3%,2807,29.1%,0,0.0%,6886,71.3%
deaths,70-79,731,7.6%,1020,10.6%,0,0.0%,1751,18.1%
deaths,60-69,268,2.8%,436,4.5%,0,0.0%,704,7.3%
deaths,50-59,97,1.0%,135,1.4%,0,0.0%,232,2.4%
deaths,40-49,16,0.2%,38,0.4%,0,0.0%,54,0.6%
deaths,30-39,5,0.1%,11,0.1%,0,0.0%,16,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5200,53.9%,4454,46.1%,0,0.0%,9654,100.0%
