severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3298,19.2%,2450,14.2%,0,0.0%,5748,33.4%
hospitalization,70-79,1559,9.1%,1960,11.4%,0,0.0%,3519,20.5%
hospitalization,60-69,1111,6.5%,1731,10.1%,0,0.0%,2842,16.5%
hospitalization,50-59,873,5.1%,1363,7.9%,1,0.0%,2237,13.0%
hospitalization,40-49,536,3.1%,718,4.2%,0,0.0%,1254,7.3%
hospitalization,30-39,431,2.5%,403,2.3%,0,0.0%,834,4.9%
hospitalization,20-29,306,1.8%,208,1.2%,0,0.0%,514,3.0%
hospitalization,0-19,125,0.7%,121,0.7%,0,0.0%,246,1.4%
hospitalization,total,8239,47.9%,8954,52.1%,1,0.0%,17194,100.0%
icu,80+,232,6.5%,247,6.9%,0,0.0%,479,13.4%
icu,70-79,300,8.4%,562,15.7%,0,0.0%,862,24.1%
icu,60-69,296,8.3%,607,17.0%,0,0.0%,903,25.3%
icu,50-59,231,6.5%,449,12.6%,0,0.0%,680,19.0%
icu,40-49,121,3.4%,203,5.7%,0,0.0%,324,9.1%
icu,30-39,72,2.0%,98,2.7%,0,0.0%,170,4.8%
icu,20-29,60,1.7%,49,1.4%,0,0.0%,109,3.0%
icu,0-19,21,0.6%,26,0.7%,0,0.0%,47,1.3%
icu,total,1333,37.3%,2241,62.7%,0,0.0%,3574,100.0%
deaths,80+,4287,41.7%,2996,29.2%,0,0.0%,7283,70.9%
deaths,70-79,791,7.7%,1104,10.7%,0,0.0%,1895,18.4%
deaths,60-69,287,2.8%,468,4.6%,0,0.0%,755,7.3%
deaths,50-59,107,1.0%,144,1.4%,0,0.0%,251,2.4%
deaths,40-49,21,0.2%,42,0.4%,0,0.0%,63,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5503,53.6%,4773,46.4%,0,0.0%,10276,100.0%
