severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2223,18.9%,1539,13.1%,0,0.0%,3762,32.0%
hospitalization,70-79,1084,9.2%,1328,11.3%,0,0.0%,2412,20.5%
hospitalization,60-69,784,6.7%,1201,10.2%,0,0.0%,1985,16.9%
hospitalization,50-59,658,5.6%,970,8.2%,1,0.0%,1629,13.8%
hospitalization,40-49,394,3.3%,496,4.2%,0,0.0%,890,7.6%
hospitalization,30-39,279,2.4%,295,2.5%,0,0.0%,574,4.9%
hospitalization,20-29,204,1.7%,151,1.3%,0,0.0%,355,3.0%
hospitalization,0-19,84,0.7%,75,0.6%,0,0.0%,159,1.4%
hospitalization,total,5710,48.5%,6055,51.5%,1,0.0%,11766,100.0%
icu,80+,146,6.1%,130,5.4%,0,0.0%,276,11.5%
icu,70-79,197,8.2%,355,14.8%,0,0.0%,552,23.0%
icu,60-69,193,8.1%,405,16.9%,0,0.0%,598,25.0%
icu,50-59,176,7.3%,325,13.6%,0,0.0%,501,20.9%
icu,40-49,89,3.7%,140,5.8%,0,0.0%,229,9.6%
icu,30-39,46,1.9%,74,3.1%,0,0.0%,120,5.0%
icu,20-29,48,2.0%,41,1.7%,0,0.0%,89,3.7%
icu,0-19,14,0.6%,17,0.7%,0,0.0%,31,1.3%
icu,total,909,37.9%,1487,62.1%,0,0.0%,2396,100.0%
deaths,80+,3898,42.6%,2625,28.7%,0,0.0%,6523,71.3%
deaths,70-79,685,7.5%,977,10.7%,0,0.0%,1662,18.2%
deaths,60-69,253,2.8%,412,4.5%,0,0.0%,665,7.3%
deaths,50-59,90,1.0%,130,1.4%,0,0.0%,220,2.4%
deaths,40-49,15,0.2%,36,0.4%,0,0.0%,51,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,4949,54.1%,4199,45.9%,0,0.0%,9148,100.0%
