severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3311,19.2%,2465,14.3%,0,0.0%,5776,33.4%
hospitalization,70-79,1566,9.1%,1966,11.4%,0,0.0%,3532,20.4%
hospitalization,60-69,1115,6.5%,1737,10.1%,0,0.0%,2852,16.5%
hospitalization,50-59,874,5.1%,1371,7.9%,1,0.0%,2246,13.0%
hospitalization,40-49,542,3.1%,722,4.2%,0,0.0%,1264,7.3%
hospitalization,30-39,433,2.5%,404,2.3%,0,0.0%,837,4.8%
hospitalization,20-29,307,1.8%,209,1.2%,0,0.0%,516,3.0%
hospitalization,0-19,127,0.7%,123,0.7%,0,0.0%,250,1.4%
hospitalization,total,8275,47.9%,8997,52.1%,1,0.0%,17273,100.0%
icu,80+,234,6.5%,247,6.9%,0,0.0%,481,13.4%
icu,70-79,301,8.4%,562,15.7%,0,0.0%,863,24.1%
icu,60-69,296,8.3%,608,17.0%,0,0.0%,904,25.2%
icu,50-59,231,6.4%,452,12.6%,0,0.0%,683,19.1%
icu,40-49,121,3.4%,204,5.7%,0,0.0%,325,9.1%
icu,30-39,72,2.0%,98,2.7%,0,0.0%,170,4.7%
icu,20-29,60,1.7%,50,1.4%,0,0.0%,110,3.1%
icu,0-19,21,0.6%,26,0.7%,0,0.0%,47,1.3%
icu,total,1336,37.3%,2247,62.7%,0,0.0%,3583,100.0%
deaths,80+,4304,41.8%,3003,29.1%,0,0.0%,7307,70.9%
deaths,70-79,791,7.7%,1104,10.7%,0,0.0%,1895,18.4%
deaths,60-69,288,2.8%,470,4.6%,0,0.0%,758,7.4%
deaths,50-59,107,1.0%,145,1.4%,0,0.0%,252,2.4%
deaths,40-49,21,0.2%,42,0.4%,0,0.0%,63,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5521,53.6%,4783,46.4%,0,0.0%,10304,100.0%
