severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2244,18.7%,1572,13.1%,0,0.0%,3816,31.8%
hospitalization,70-79,1099,9.1%,1355,11.3%,0,0.0%,2454,20.4%
hospitalization,60-69,802,6.7%,1232,10.3%,0,0.0%,2034,16.9%
hospitalization,50-59,667,5.6%,991,8.2%,1,0.0%,1659,13.8%
hospitalization,40-49,406,3.4%,511,4.3%,0,0.0%,917,7.6%
hospitalization,30-39,294,2.4%,308,2.6%,0,0.0%,602,5.0%
hospitalization,20-29,213,1.8%,156,1.3%,0,0.0%,369,3.1%
hospitalization,0-19,87,0.7%,79,0.7%,0,0.0%,166,1.4%
hospitalization,total,5812,48.4%,6204,51.6%,1,0.0%,12017,100.0%
icu,80+,147,6.0%,135,5.5%,0,0.0%,282,11.5%
icu,70-79,202,8.3%,365,14.9%,0,0.0%,567,23.2%
icu,60-69,198,8.1%,411,16.8%,0,0.0%,609,24.9%
icu,50-59,178,7.3%,332,13.6%,0,0.0%,510,20.8%
icu,40-49,92,3.8%,143,5.8%,0,0.0%,235,9.6%
icu,30-39,48,2.0%,74,3.0%,0,0.0%,122,5.0%
icu,20-29,49,2.0%,42,1.7%,0,0.0%,91,3.7%
icu,0-19,14,0.6%,18,0.7%,0,0.0%,32,1.3%
icu,total,928,37.9%,1520,62.1%,0,0.0%,2448,100.0%
deaths,80+,3919,42.6%,2647,28.7%,0,0.0%,6566,71.3%
deaths,70-79,692,7.5%,981,10.7%,0,0.0%,1673,18.2%
deaths,60-69,254,2.8%,414,4.5%,0,0.0%,668,7.3%
deaths,50-59,92,1.0%,130,1.4%,0,0.0%,222,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,4981,54.1%,4226,45.9%,0,0.0%,9207,100.0%
