severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3680,18.9%,2841,14.6%,0,0.0%,6521,33.5%
hospitalization,70-79,1805,9.3%,2248,11.5%,0,0.0%,4053,20.8%
hospitalization,60-69,1249,6.4%,1931,9.9%,0,0.0%,3180,16.3%
hospitalization,50-59,990,5.1%,1518,7.8%,1,0.0%,2509,12.9%
hospitalization,40-49,600,3.1%,802,4.1%,0,0.0%,1402,7.2%
hospitalization,30-39,480,2.5%,464,2.4%,0,0.0%,944,4.8%
hospitalization,20-29,352,1.8%,236,1.2%,0,0.0%,588,3.0%
hospitalization,0-19,141,0.7%,142,0.7%,0,0.0%,283,1.5%
hospitalization,total,9297,47.7%,10182,52.3%,1,0.0%,19480,100.0%
icu,80+,258,6.5%,287,7.3%,0,0.0%,545,13.8%
icu,70-79,343,8.7%,619,15.7%,0,0.0%,962,24.4%
icu,60-69,329,8.3%,666,16.9%,0,0.0%,995,25.2%
icu,50-59,253,6.4%,487,12.4%,0,0.0%,740,18.8%
icu,40-49,129,3.3%,221,5.6%,0,0.0%,350,8.9%
icu,30-39,76,1.9%,108,2.7%,0,0.0%,184,4.7%
icu,20-29,64,1.6%,55,1.4%,0,0.0%,119,3.0%
icu,0-19,21,0.5%,27,0.7%,0,0.0%,48,1.2%
icu,total,1473,37.4%,2470,62.6%,0,0.0%,3943,100.0%
deaths,80+,4641,41.6%,3273,29.3%,0,0.0%,7914,71.0%
deaths,70-79,854,7.7%,1198,10.7%,0,0.0%,2052,18.4%
deaths,60-69,313,2.8%,497,4.5%,0,0.0%,810,7.3%
deaths,50-59,118,1.1%,156,1.4%,0,0.0%,274,2.5%
deaths,40-49,23,0.2%,44,0.4%,0,0.0%,67,0.6%
deaths,30-39,7,0.1%,14,0.1%,0,0.0%,21,0.2%
deaths,20-29,3,0.0%,9,0.1%,0,0.0%,12,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5960,53.4%,5192,46.6%,0,0.0%,11152,100.0%
