severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2432,17.7%,1773,12.9%,0,0.0%,4205,30.6%
hospitalization,70-79,1255,9.1%,1583,11.5%,0,0.0%,2838,20.7%
hospitalization,60-69,938,6.8%,1463,10.7%,0,0.0%,2401,17.5%
hospitalization,50-59,751,5.5%,1149,8.4%,1,0.0%,1901,13.8%
hospitalization,40-49,476,3.5%,588,4.3%,0,0.0%,1064,7.8%
hospitalization,30-39,342,2.5%,350,2.5%,0,0.0%,692,5.0%
hospitalization,20-29,241,1.8%,181,1.3%,0,0.0%,422,3.1%
hospitalization,0-19,106,0.8%,97,0.7%,0,0.0%,203,1.5%
hospitalization,total,6541,47.7%,7184,52.3%,1,0.0%,13726,100.0%
icu,80+,206,6.2%,220,6.6%,0,0.0%,426,12.8%
icu,70-79,280,8.4%,512,15.4%,0,0.0%,792,23.9%
icu,60-69,272,8.2%,564,17.0%,0,0.0%,836,25.2%
icu,50-59,219,6.6%,430,13.0%,0,0.0%,649,19.6%
icu,40-49,117,3.5%,188,5.7%,0,0.0%,305,9.2%
icu,30-39,69,2.1%,92,2.8%,0,0.0%,161,4.9%
icu,20-29,58,1.7%,47,1.4%,0,0.0%,105,3.2%
icu,0-19,20,0.6%,25,0.8%,0,0.0%,45,1.4%
icu,total,1241,37.4%,2078,62.6%,0,0.0%,3319,100.0%
deaths,80+,4090,42.1%,2822,29.1%,0,0.0%,6912,71.2%
deaths,70-79,736,7.6%,1034,10.6%,0,0.0%,1770,18.2%
deaths,60-69,271,2.8%,443,4.6%,0,0.0%,714,7.4%
deaths,50-59,98,1.0%,136,1.4%,0,0.0%,234,2.4%
deaths,40-49,16,0.2%,38,0.4%,0,0.0%,54,0.6%
deaths,30-39,5,0.1%,11,0.1%,0,0.0%,16,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5220,53.7%,4492,46.3%,0,0.0%,9712,100.0%
