severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3284,19.3%,2433,14.3%,0,0.0%,5717,33.5%
hospitalization,70-79,1548,9.1%,1943,11.4%,0,0.0%,3491,20.5%
hospitalization,60-69,1100,6.5%,1709,10.0%,0,0.0%,2809,16.5%
hospitalization,50-59,868,5.1%,1354,7.9%,1,0.0%,2223,13.0%
hospitalization,40-49,531,3.1%,710,4.2%,0,0.0%,1241,7.3%
hospitalization,30-39,428,2.5%,391,2.3%,0,0.0%,819,4.8%
hospitalization,20-29,303,1.8%,206,1.2%,0,0.0%,509,3.0%
hospitalization,0-19,123,0.7%,120,0.7%,0,0.0%,243,1.4%
hospitalization,total,8185,48.0%,8866,52.0%,1,0.0%,17052,100.0%
icu,80+,229,6.5%,243,6.9%,0,0.0%,472,13.4%
icu,70-79,299,8.5%,556,15.7%,0,0.0%,855,24.2%
icu,60-69,291,8.2%,600,17.0%,0,0.0%,891,25.2%
icu,50-59,229,6.5%,446,12.6%,0,0.0%,675,19.1%
icu,40-49,120,3.4%,199,5.6%,0,0.0%,319,9.0%
icu,30-39,71,2.0%,95,2.7%,0,0.0%,166,4.7%
icu,20-29,59,1.7%,49,1.4%,0,0.0%,108,3.1%
icu,0-19,21,0.6%,26,0.7%,0,0.0%,47,1.3%
icu,total,1319,37.3%,2214,62.7%,0,0.0%,3533,100.0%
deaths,80+,4271,41.7%,2984,29.2%,0,0.0%,7255,70.9%
deaths,70-79,789,7.7%,1098,10.7%,0,0.0%,1887,18.4%
deaths,60-69,285,2.8%,466,4.6%,0,0.0%,751,7.3%
deaths,50-59,108,1.1%,143,1.4%,0,0.0%,251,2.5%
deaths,40-49,21,0.2%,42,0.4%,0,0.0%,63,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5484,53.6%,4752,46.4%,0,0.0%,10236,100.0%
