severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2372,18.1%,1702,13.0%,0,0.0%,4074,31.0%
hospitalization,70-79,1213,9.2%,1495,11.4%,0,0.0%,2708,20.6%
hospitalization,60-69,895,6.8%,1365,10.4%,0,0.0%,2260,17.2%
hospitalization,50-59,720,5.5%,1104,8.4%,1,0.0%,1825,13.9%
hospitalization,40-49,449,3.4%,556,4.2%,0,0.0%,1005,7.7%
hospitalization,30-39,329,2.5%,339,2.6%,0,0.0%,668,5.1%
hospitalization,20-29,232,1.8%,174,1.3%,0,0.0%,406,3.1%
hospitalization,0-19,98,0.7%,88,0.7%,0,0.0%,186,1.4%
hospitalization,total,6308,48.0%,6823,52.0%,1,0.0%,13132,100.0%
icu,80+,191,6.2%,198,6.4%,0,0.0%,389,12.6%
icu,70-79,266,8.6%,461,14.9%,0,0.0%,727,23.5%
icu,60-69,250,8.1%,512,16.6%,0,0.0%,762,24.7%
icu,50-59,212,6.9%,419,13.6%,0,0.0%,631,20.4%
icu,40-49,110,3.6%,174,5.6%,0,0.0%,284,9.2%
icu,30-39,63,2.0%,88,2.8%,0,0.0%,151,4.9%
icu,20-29,58,1.9%,47,1.5%,0,0.0%,105,3.4%
icu,0-19,19,0.6%,22,0.7%,0,0.0%,41,1.3%
icu,total,1169,37.8%,1921,62.2%,0,0.0%,3090,100.0%
deaths,80+,4032,42.3%,2756,28.9%,0,0.0%,6788,71.3%
deaths,70-79,720,7.6%,1008,10.6%,0,0.0%,1728,18.1%
deaths,60-69,264,2.8%,434,4.6%,0,0.0%,698,7.3%
deaths,50-59,96,1.0%,132,1.4%,0,0.0%,228,2.4%
deaths,40-49,16,0.2%,38,0.4%,0,0.0%,54,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,4,0.0%,6,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5137,53.9%,4386,46.1%,0,0.0%,9523,100.0%
