severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,4152,18.8%,3251,14.8%,0,0.0%,7403,33.6%
hospitalization,70-79,2048,9.3%,2562,11.6%,0,0.0%,4610,20.9%
hospitalization,60-69,1416,6.4%,2210,10.0%,0,0.0%,3626,16.5%
hospitalization,50-59,1128,5.1%,1697,7.7%,1,0.0%,2826,12.8%
hospitalization,40-49,667,3.0%,885,4.0%,0,0.0%,1552,7.0%
hospitalization,30-39,539,2.4%,511,2.3%,0,0.0%,1050,4.8%
hospitalization,20-29,397,1.8%,259,1.2%,0,0.0%,656,3.0%
hospitalization,0-19,155,0.7%,157,0.7%,0,0.0%,312,1.4%
hospitalization,total,10502,47.7%,11532,52.3%,1,0.0%,22035,100.0%
icu,80+,277,6.5%,320,7.5%,0,0.0%,597,13.9%
icu,70-79,375,8.7%,685,16.0%,0,0.0%,1060,24.7%
icu,60-69,357,8.3%,745,17.4%,0,0.0%,1102,25.7%
icu,50-59,274,6.4%,506,11.8%,0,0.0%,780,18.2%
icu,40-49,138,3.2%,235,5.5%,0,0.0%,373,8.7%
icu,30-39,79,1.8%,121,2.8%,0,0.0%,200,4.7%
icu,20-29,69,1.6%,58,1.4%,0,0.0%,127,3.0%
icu,0-19,22,0.5%,28,0.7%,0,0.0%,50,1.2%
icu,total,1591,37.1%,2698,62.9%,0,0.0%,4289,100.0%
deaths,80+,4846,41.2%,3481,29.6%,0,0.0%,8327,70.8%
deaths,70-79,902,7.7%,1268,10.8%,0,0.0%,2170,18.5%
deaths,60-69,327,2.8%,540,4.6%,0,0.0%,867,7.4%
deaths,50-59,125,1.1%,163,1.4%,0,0.0%,288,2.4%
deaths,40-49,24,0.2%,46,0.4%,0,0.0%,70,0.6%
deaths,30-39,7,0.1%,16,0.1%,0,0.0%,23,0.2%
deaths,20-29,4,0.0%,8,0.1%,0,0.0%,12,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,6236,53.0%,5523,47.0%,0,0.0%,11759,100.0%
