severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2359,18.1%,1688,13.0%,0,0.0%,4047,31.1%
hospitalization,70-79,1199,9.2%,1480,11.4%,0,0.0%,2679,20.6%
hospitalization,60-69,882,6.8%,1347,10.4%,0,0.0%,2229,17.1%
hospitalization,50-59,711,5.5%,1094,8.4%,1,0.0%,1806,13.9%
hospitalization,40-49,444,3.4%,554,4.3%,0,0.0%,998,7.7%
hospitalization,30-39,328,2.5%,334,2.6%,0,0.0%,662,5.1%
hospitalization,20-29,232,1.8%,172,1.3%,0,0.0%,404,3.1%
hospitalization,0-19,96,0.7%,86,0.7%,0,0.0%,182,1.4%
hospitalization,total,6251,48.1%,6755,51.9%,1,0.0%,13007,100.0%
icu,80+,188,6.1%,195,6.4%,0,0.0%,383,12.5%
icu,70-79,263,8.6%,458,15.0%,0,0.0%,721,23.6%
icu,60-69,248,8.1%,503,16.4%,0,0.0%,751,24.5%
icu,50-59,211,6.9%,415,13.6%,0,0.0%,626,20.5%
icu,40-49,110,3.6%,174,5.7%,0,0.0%,284,9.3%
icu,30-39,63,2.1%,87,2.8%,0,0.0%,150,4.9%
icu,20-29,58,1.9%,47,1.5%,0,0.0%,105,3.4%
icu,0-19,19,0.6%,22,0.7%,0,0.0%,41,1.3%
icu,total,1160,37.9%,1901,62.1%,0,0.0%,3061,100.0%
deaths,80+,4023,42.4%,2748,28.9%,0,0.0%,6771,71.3%
deaths,70-79,717,7.6%,1006,10.6%,0,0.0%,1723,18.1%
deaths,60-69,262,2.8%,432,4.5%,0,0.0%,694,7.3%
deaths,50-59,95,1.0%,132,1.4%,0,0.0%,227,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.5%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,4,0.0%,7,0.1%,0,0.0%,11,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5122,53.9%,4373,46.1%,0,0.0%,9495,100.0%
