severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2218,18.9%,1539,13.1%,0,0.0%,3757,32.0%
hospitalization,70-79,1083,9.2%,1324,11.3%,0,0.0%,2407,20.5%
hospitalization,60-69,783,6.7%,1197,10.2%,0,0.0%,1980,16.9%
hospitalization,50-59,658,5.6%,969,8.3%,1,0.0%,1628,13.9%
hospitalization,40-49,392,3.3%,494,4.2%,0,0.0%,886,7.5%
hospitalization,30-39,276,2.4%,293,2.5%,0,0.0%,569,4.8%
hospitalization,20-29,203,1.7%,151,1.3%,0,0.0%,354,3.0%
hospitalization,0-19,84,0.7%,74,0.6%,0,0.0%,158,1.3%
hospitalization,total,5697,48.5%,6041,51.5%,1,0.0%,11739,100.0%
icu,80+,146,6.1%,130,5.4%,0,0.0%,276,11.5%
icu,70-79,197,8.2%,353,14.8%,0,0.0%,550,23.0%
icu,60-69,192,8.0%,403,16.9%,0,0.0%,595,24.9%
icu,50-59,176,7.4%,325,13.6%,0,0.0%,501,21.0%
icu,40-49,89,3.7%,140,5.9%,0,0.0%,229,9.6%
icu,30-39,46,1.9%,74,3.1%,0,0.0%,120,5.0%
icu,20-29,48,2.0%,41,1.7%,0,0.0%,89,3.7%
icu,0-19,13,0.5%,17,0.7%,0,0.0%,30,1.3%
icu,total,907,37.9%,1483,62.1%,0,0.0%,2390,100.0%
deaths,80+,3853,42.7%,2590,28.7%,0,0.0%,6443,71.3%
deaths,70-79,680,7.5%,962,10.7%,0,0.0%,1642,18.2%
deaths,60-69,249,2.8%,407,4.5%,0,0.0%,656,7.3%
deaths,50-59,87,1.0%,127,1.4%,0,0.0%,214,2.4%
deaths,40-49,15,0.2%,36,0.4%,0,0.0%,51,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,0,0.0%,0,0.0%,1,0.0%
deaths,total,4892,54.2%,4140,45.8%,0,0.0%,9032,100.0%
