severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3173,19.3%,2330,14.2%,0,0.0%,5503,33.5%
hospitalization,70-79,1493,9.1%,1868,11.4%,0,0.0%,3361,20.5%
hospitalization,60-69,1066,6.5%,1650,10.1%,0,0.0%,2716,16.6%
hospitalization,50-59,835,5.1%,1306,8.0%,1,0.0%,2142,13.1%
hospitalization,40-49,516,3.1%,683,4.2%,0,0.0%,1199,7.3%
hospitalization,30-39,405,2.5%,371,2.3%,0,0.0%,776,4.7%
hospitalization,20-29,288,1.8%,194,1.2%,0,0.0%,482,2.9%
hospitalization,0-19,116,0.7%,111,0.7%,0,0.0%,227,1.4%
hospitalization,total,7892,48.1%,8513,51.9%,1,0.0%,16406,100.0%
icu,80+,225,6.5%,235,6.8%,0,0.0%,460,13.3%
icu,70-79,294,8.5%,540,15.7%,0,0.0%,834,24.2%
icu,60-69,283,8.2%,582,16.9%,0,0.0%,865,25.1%
icu,50-59,226,6.6%,437,12.7%,0,0.0%,663,19.2%
icu,40-49,116,3.4%,195,5.7%,0,0.0%,311,9.0%
icu,30-39,69,2.0%,93,2.7%,0,0.0%,162,4.7%
icu,20-29,59,1.7%,47,1.4%,0,0.0%,106,3.1%
icu,0-19,21,0.6%,26,0.8%,0,0.0%,47,1.4%
icu,total,1293,37.5%,2155,62.5%,0,0.0%,3448,100.0%
deaths,80+,4204,41.9%,2913,29.1%,0,0.0%,7117,71.0%
deaths,70-79,767,7.7%,1073,10.7%,0,0.0%,1840,18.4%
deaths,60-69,278,2.8%,457,4.6%,0,0.0%,735,7.3%
deaths,50-59,103,1.0%,139,1.4%,0,0.0%,242,2.4%
deaths,40-49,20,0.2%,42,0.4%,0,0.0%,62,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5382,53.7%,4643,46.3%,0,0.0%,10025,100.0%
