severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3635,19.0%,2804,14.6%,0,0.0%,6439,33.6%
hospitalization,70-79,1777,9.3%,2208,11.5%,0,0.0%,3985,20.8%
hospitalization,60-69,1229,6.4%,1914,10.0%,0,0.0%,3143,16.4%
hospitalization,50-59,970,5.1%,1487,7.8%,1,0.0%,2458,12.8%
hospitalization,40-49,592,3.1%,781,4.1%,0,0.0%,1373,7.2%
hospitalization,30-39,473,2.5%,449,2.3%,0,0.0%,922,4.8%
hospitalization,20-29,343,1.8%,229,1.2%,0,0.0%,572,3.0%
hospitalization,0-19,139,0.7%,137,0.7%,0,0.0%,276,1.4%
hospitalization,total,9158,47.8%,10009,52.2%,1,0.0%,19168,100.0%
icu,80+,255,6.6%,279,7.2%,0,0.0%,534,13.8%
icu,70-79,338,8.7%,605,15.6%,0,0.0%,943,24.4%
icu,60-69,318,8.2%,653,16.9%,0,0.0%,971,25.1%
icu,50-59,251,6.5%,479,12.4%,0,0.0%,730,18.9%
icu,40-49,126,3.3%,218,5.6%,0,0.0%,344,8.9%
icu,30-39,74,1.9%,106,2.7%,0,0.0%,180,4.7%
icu,20-29,63,1.6%,54,1.4%,0,0.0%,117,3.0%
icu,0-19,21,0.5%,26,0.7%,0,0.0%,47,1.2%
icu,total,1446,37.4%,2420,62.6%,0,0.0%,3866,100.0%
deaths,80+,4615,41.7%,3247,29.3%,0,0.0%,7862,71.0%
deaths,70-79,853,7.7%,1189,10.7%,0,0.0%,2042,18.4%
deaths,60-69,309,2.8%,491,4.4%,0,0.0%,800,7.2%
deaths,50-59,118,1.1%,155,1.4%,0,0.0%,273,2.5%
deaths,40-49,23,0.2%,44,0.4%,0,0.0%,67,0.6%
deaths,30-39,7,0.1%,12,0.1%,0,0.0%,19,0.2%
deaths,20-29,3,0.0%,8,0.1%,0,0.0%,11,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5929,53.5%,5147,46.5%,0,0.0%,11076,100.0%
