severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3467,19.0%,2627,14.4%,0,0.0%,6094,33.4%
hospitalization,70-79,1669,9.2%,2085,11.4%,0,0.0%,3754,20.6%
hospitalization,60-69,1172,6.4%,1826,10.0%,0,0.0%,2998,16.5%
hospitalization,50-59,917,5.0%,1445,7.9%,1,0.0%,2363,13.0%
hospitalization,40-49,572,3.1%,742,4.1%,0,0.0%,1314,7.2%
hospitalization,30-39,463,2.5%,425,2.3%,0,0.0%,888,4.9%
hospitalization,20-29,324,1.8%,222,1.2%,0,0.0%,546,3.0%
hospitalization,0-19,133,0.7%,132,0.7%,0,0.0%,265,1.5%
hospitalization,total,8717,47.8%,9504,52.2%,1,0.0%,18222,100.0%
icu,80+,244,6.6%,263,7.1%,0,0.0%,507,13.6%
icu,70-79,320,8.6%,583,15.7%,0,0.0%,903,24.3%
icu,60-69,302,8.1%,630,17.0%,0,0.0%,932,25.1%
icu,50-59,238,6.4%,466,12.5%,0,0.0%,704,18.9%
icu,40-49,125,3.4%,209,5.6%,0,0.0%,334,9.0%
icu,30-39,73,2.0%,101,2.7%,0,0.0%,174,4.7%
icu,20-29,62,1.7%,53,1.4%,0,0.0%,115,3.1%
icu,0-19,21,0.6%,26,0.7%,0,0.0%,47,1.3%
icu,total,1385,37.3%,2331,62.7%,0,0.0%,3716,100.0%
deaths,80+,4459,41.7%,3129,29.3%,0,0.0%,7588,71.0%
deaths,70-79,818,7.7%,1147,10.7%,0,0.0%,1965,18.4%
deaths,60-69,297,2.8%,481,4.5%,0,0.0%,778,7.3%
deaths,50-59,112,1.0%,149,1.4%,0,0.0%,261,2.4%
deaths,40-49,22,0.2%,42,0.4%,0,0.0%,64,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5718,53.5%,4967,46.5%,0,0.0%,10685,100.0%
