severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,4107,18.8%,3218,14.8%,0,0.0%,7325,33.6%
hospitalization,70-79,2028,9.3%,2533,11.6%,0,0.0%,4561,20.9%
hospitalization,60-69,1405,6.4%,2186,10.0%,0,0.0%,3591,16.5%
hospitalization,50-59,1117,5.1%,1682,7.7%,1,0.0%,2800,12.8%
hospitalization,40-49,660,3.0%,878,4.0%,0,0.0%,1538,7.1%
hospitalization,30-39,535,2.5%,505,2.3%,0,0.0%,1040,4.8%
hospitalization,20-29,392,1.8%,255,1.2%,0,0.0%,647,3.0%
hospitalization,0-19,152,0.7%,158,0.7%,0,0.0%,310,1.4%
hospitalization,total,10396,47.7%,11415,52.3%,1,0.0%,21812,100.0%
icu,80+,277,6.5%,317,7.4%,0,0.0%,594,13.9%
icu,70-79,370,8.7%,680,15.9%,0,0.0%,1050,24.6%
icu,60-69,356,8.3%,744,17.4%,0,0.0%,1100,25.8%
icu,50-59,271,6.3%,506,11.9%,0,0.0%,777,18.2%
icu,40-49,137,3.2%,235,5.5%,0,0.0%,372,8.7%
icu,30-39,79,1.9%,119,2.8%,0,0.0%,198,4.6%
icu,20-29,69,1.6%,58,1.4%,0,0.0%,127,3.0%
icu,0-19,22,0.5%,28,0.7%,0,0.0%,50,1.2%
icu,total,1581,37.0%,2687,63.0%,0,0.0%,4268,100.0%
deaths,80+,4819,41.2%,3464,29.6%,0,0.0%,8283,70.8%
deaths,70-79,900,7.7%,1261,10.8%,0,0.0%,2161,18.5%
deaths,60-69,326,2.8%,533,4.6%,0,0.0%,859,7.3%
deaths,50-59,125,1.1%,162,1.4%,0,0.0%,287,2.5%
deaths,40-49,24,0.2%,46,0.4%,0,0.0%,70,0.6%
deaths,30-39,7,0.1%,16,0.1%,0,0.0%,23,0.2%
deaths,20-29,4,0.0%,9,0.1%,0,0.0%,13,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,6206,53.1%,5492,46.9%,0,0.0%,11698,100.0%
