severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2244,18.7%,1570,13.1%,0,0.0%,3814,31.8%
hospitalization,70-79,1098,9.1%,1354,11.3%,0,0.0%,2452,20.4%
hospitalization,60-69,802,6.7%,1231,10.3%,0,0.0%,2033,16.9%
hospitalization,50-59,667,5.6%,989,8.2%,1,0.0%,1657,13.8%
hospitalization,40-49,405,3.4%,510,4.2%,0,0.0%,915,7.6%
hospitalization,30-39,295,2.5%,306,2.5%,0,0.0%,601,5.0%
hospitalization,20-29,213,1.8%,156,1.3%,0,0.0%,369,3.1%
hospitalization,0-19,87,0.7%,79,0.7%,0,0.0%,166,1.4%
hospitalization,total,5811,48.4%,6195,51.6%,1,0.0%,12007,100.0%
icu,80+,147,6.0%,135,5.5%,0,0.0%,282,11.5%
icu,70-79,201,8.2%,365,14.9%,0,0.0%,566,23.2%
icu,60-69,198,8.1%,410,16.8%,0,0.0%,608,24.9%
icu,50-59,178,7.3%,330,13.5%,0,0.0%,508,20.8%
icu,40-49,92,3.8%,143,5.9%,0,0.0%,235,9.6%
icu,30-39,48,2.0%,74,3.0%,0,0.0%,122,5.0%
icu,20-29,49,2.0%,42,1.7%,0,0.0%,91,3.7%
icu,0-19,14,0.6%,18,0.7%,0,0.0%,32,1.3%
icu,total,927,37.9%,1517,62.1%,0,0.0%,2444,100.0%
deaths,80+,3918,42.6%,2646,28.7%,0,0.0%,6564,71.3%
deaths,70-79,692,7.5%,981,10.7%,0,0.0%,1673,18.2%
deaths,60-69,254,2.8%,414,4.5%,0,0.0%,668,7.3%
deaths,50-59,92,1.0%,130,1.4%,0,0.0%,222,2.4%
deaths,40-49,16,0.2%,36,0.4%,0,0.0%,52,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,4980,54.1%,4225,45.9%,0,0.0%,9205,100.0%
