severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3155,19.3%,2325,14.2%,0,0.0%,5480,33.6%
hospitalization,70-79,1488,9.1%,1856,11.4%,0,0.0%,3344,20.5%
hospitalization,60-69,1063,6.5%,1634,10.0%,0,0.0%,2697,16.5%
hospitalization,50-59,832,5.1%,1302,8.0%,1,0.0%,2135,13.1%
hospitalization,40-49,514,3.1%,675,4.1%,0,0.0%,1189,7.3%
hospitalization,30-39,401,2.5%,371,2.3%,0,0.0%,772,4.7%
hospitalization,20-29,285,1.7%,193,1.2%,0,0.0%,478,2.9%
hospitalization,0-19,115,0.7%,110,0.7%,0,0.0%,225,1.4%
hospitalization,total,7853,48.1%,8466,51.9%,1,0.0%,16320,100.0%
icu,80+,223,6.5%,234,6.8%,0,0.0%,457,13.3%
icu,70-79,293,8.5%,539,15.7%,0,0.0%,832,24.2%
icu,60-69,283,8.2%,579,16.9%,0,0.0%,862,25.1%
icu,50-59,225,6.6%,437,12.7%,0,0.0%,662,19.3%
icu,40-49,116,3.4%,193,5.6%,0,0.0%,309,9.0%
icu,30-39,68,2.0%,93,2.7%,0,0.0%,161,4.7%
icu,20-29,59,1.7%,47,1.4%,0,0.0%,106,3.1%
icu,0-19,20,0.6%,26,0.8%,0,0.0%,46,1.3%
icu,total,1287,37.5%,2148,62.5%,0,0.0%,3435,100.0%
deaths,80+,4199,42.0%,2909,29.1%,0,0.0%,7108,71.0%
deaths,70-79,765,7.6%,1071,10.7%,0,0.0%,1836,18.3%
deaths,60-69,276,2.8%,455,4.5%,0,0.0%,731,7.3%
deaths,50-59,103,1.0%,138,1.4%,0,0.0%,241,2.4%
deaths,40-49,20,0.2%,42,0.4%,0,0.0%,62,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5373,53.7%,4634,46.3%,0,0.0%,10007,100.0%
