severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2202,19.1%,1525,13.2%,0,0.0%,3727,32.3%
hospitalization,70-79,1065,9.2%,1299,11.3%,0,0.0%,2364,20.5%
hospitalization,60-69,762,6.6%,1170,10.2%,0,0.0%,1932,16.8%
hospitalization,50-59,644,5.6%,941,8.2%,1,0.0%,1586,13.8%
hospitalization,40-49,380,3.3%,482,4.2%,0,0.0%,862,7.5%
hospitalization,30-39,269,2.3%,286,2.5%,0,0.0%,555,4.8%
hospitalization,20-29,198,1.7%,147,1.3%,0,0.0%,345,3.0%
hospitalization,0-19,81,0.7%,70,0.6%,0,0.0%,151,1.3%
hospitalization,total,5601,48.6%,5920,51.4%,1,0.0%,11522,100.0%
icu,80+,145,6.2%,129,5.5%,0,0.0%,274,11.7%
icu,70-79,196,8.4%,349,14.9%,0,0.0%,545,23.2%
icu,60-69,190,8.1%,394,16.8%,0,0.0%,584,24.9%
icu,50-59,171,7.3%,315,13.4%,0,0.0%,486,20.7%
icu,40-49,86,3.7%,140,6.0%,0,0.0%,226,9.6%
icu,30-39,45,1.9%,70,3.0%,0,0.0%,115,4.9%
icu,20-29,47,2.0%,40,1.7%,0,0.0%,87,3.7%
icu,0-19,13,0.6%,16,0.7%,0,0.0%,29,1.2%
icu,total,893,38.1%,1453,61.9%,0,0.0%,2346,100.0%
deaths,80+,3845,42.7%,2580,28.7%,0,0.0%,6425,71.4%
deaths,70-79,677,7.5%,958,10.6%,0,0.0%,1635,18.2%
deaths,60-69,247,2.7%,405,4.5%,0,0.0%,652,7.2%
deaths,50-59,86,1.0%,125,1.4%,0,0.0%,211,2.3%
deaths,40-49,15,0.2%,36,0.4%,0,0.0%,51,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,0,0.0%,0,0.0%,1,0.0%
deaths,total,4878,54.2%,4121,45.8%,0,0.0%,8999,100.0%
