severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2213,19.0%,1536,13.2%,0,0.0%,3749,32.2%
hospitalization,70-79,1081,9.3%,1310,11.2%,0,0.0%,2391,20.5%
hospitalization,60-69,773,6.6%,1188,10.2%,0,0.0%,1961,16.8%
hospitalization,50-59,652,5.6%,958,8.2%,1,0.0%,1611,13.8%
hospitalization,40-49,387,3.3%,491,4.2%,0,0.0%,878,7.5%
hospitalization,30-39,274,2.4%,291,2.5%,0,0.0%,565,4.8%
hospitalization,20-29,201,1.7%,149,1.3%,0,0.0%,350,3.0%
hospitalization,0-19,81,0.7%,73,0.6%,0,0.0%,154,1.3%
hospitalization,total,5662,48.6%,5996,51.4%,1,0.0%,11659,100.0%
icu,80+,145,6.1%,130,5.5%,0,0.0%,275,11.6%
icu,70-79,197,8.3%,352,14.8%,0,0.0%,549,23.2%
icu,60-69,191,8.1%,399,16.8%,0,0.0%,590,24.9%
icu,50-59,172,7.3%,321,13.5%,0,0.0%,493,20.8%
icu,40-49,87,3.7%,140,5.9%,0,0.0%,227,9.6%
icu,30-39,45,1.9%,73,3.1%,0,0.0%,118,5.0%
icu,20-29,48,2.0%,41,1.7%,0,0.0%,89,3.8%
icu,0-19,13,0.5%,17,0.7%,0,0.0%,30,1.3%
icu,total,898,37.9%,1473,62.1%,0,0.0%,2371,100.0%
deaths,80+,3847,42.7%,2587,28.7%,0,0.0%,6434,71.4%
deaths,70-79,678,7.5%,959,10.6%,0,0.0%,1637,18.2%
deaths,60-69,248,2.8%,407,4.5%,0,0.0%,655,7.3%
deaths,50-59,86,1.0%,125,1.4%,0,0.0%,211,2.3%
deaths,40-49,15,0.2%,37,0.4%,0,0.0%,52,0.6%
deaths,30-39,4,0.0%,11,0.1%,0,0.0%,15,0.2%
deaths,20-29,3,0.0%,6,0.1%,0,0.0%,9,0.1%
deaths,0-19,1,0.0%,0,0.0%,0,0.0%,1,0.0%
deaths,total,4882,54.2%,4132,45.8%,0,0.0%,9014,100.0%
