severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,2444,17.7%,1780,12.9%,0,0.0%,4224,30.6%
hospitalization,70-79,1267,9.2%,1591,11.5%,0,0.0%,2858,20.7%
hospitalization,60-69,944,6.8%,1465,10.6%,0,0.0%,2409,17.5%
hospitalization,50-59,756,5.5%,1154,8.4%,1,0.0%,1911,13.8%
hospitalization,40-49,477,3.5%,592,4.3%,0,0.0%,1069,7.7%
hospitalization,30-39,345,2.5%,355,2.6%,0,0.0%,700,5.1%
hospitalization,20-29,244,1.8%,184,1.3%,0,0.0%,428,3.1%
hospitalization,0-19,106,0.8%,97,0.7%,0,0.0%,203,1.5%
hospitalization,total,6583,47.7%,7218,52.3%,1,0.0%,13802,100.0%
icu,80+,206,6.2%,222,6.7%,0,0.0%,428,12.8%
icu,70-79,280,8.4%,516,15.5%,0,0.0%,796,23.9%
icu,60-69,274,8.2%,566,17.0%,0,0.0%,840,25.2%
icu,50-59,221,6.6%,433,13.0%,0,0.0%,654,19.6%
icu,40-49,117,3.5%,187,5.6%,0,0.0%,304,9.1%
icu,30-39,68,2.0%,92,2.8%,0,0.0%,160,4.8%
icu,20-29,58,1.7%,47,1.4%,0,0.0%,105,3.2%
icu,0-19,20,0.6%,25,0.8%,0,0.0%,45,1.4%
icu,total,1244,37.3%,2088,62.7%,0,0.0%,3332,100.0%
deaths,80+,4094,42.1%,2827,29.1%,0,0.0%,6921,71.2%
deaths,70-79,737,7.6%,1035,10.6%,0,0.0%,1772,18.2%
deaths,60-69,271,2.8%,444,4.6%,0,0.0%,715,7.4%
deaths,50-59,100,1.0%,136,1.4%,0,0.0%,236,2.4%
deaths,40-49,16,0.2%,38,0.4%,0,0.0%,54,0.6%
deaths,30-39,5,0.1%,11,0.1%,0,0.0%,16,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5227,53.7%,4499,46.3%,0,0.0%,9726,100.0%
