severity,age_group,count_female,prop_female,count_male,prop_male,count_other,prop_other,count_total,prop_total
hospitalization,80+,3259,19.3%,2412,14.3%,0,0.0%,5671,33.6%
hospitalization,70-79,1538,9.1%,1923,11.4%,0,0.0%,3461,20.5%
hospitalization,60-69,1085,6.4%,1690,10.0%,0,0.0%,2775,16.5%
hospitalization,50-59,859,5.1%,1336,7.9%,1,0.0%,2196,13.0%
hospitalization,40-49,525,3.1%,697,4.1%,0,0.0%,1222,7.2%
hospitalization,30-39,422,2.5%,383,2.3%,0,0.0%,805,4.8%
hospitalization,20-29,297,1.8%,200,1.2%,0,0.0%,497,2.9%
hospitalization,0-19,119,0.7%,115,0.7%,0,0.0%,234,1.4%
hospitalization,total,8104,48.1%,8756,51.9%,1,0.0%,16861,100.0%
icu,80+,228,6.5%,240,6.8%,0,0.0%,468,13.3%
icu,70-79,298,8.5%,551,15.7%,0,0.0%,849,24.2%
icu,60-69,289,8.2%,595,17.0%,0,0.0%,884,25.2%
icu,50-59,228,6.5%,445,12.7%,0,0.0%,673,19.2%
icu,40-49,119,3.4%,198,5.6%,0,0.0%,317,9.0%
icu,30-39,70,2.0%,95,2.7%,0,0.0%,165,4.7%
icu,20-29,59,1.7%,48,1.4%,0,0.0%,107,3.0%
icu,0-19,21,0.6%,26,0.7%,0,0.0%,47,1.3%
icu,total,1312,37.4%,2198,62.6%,0,0.0%,3510,100.0%
deaths,80+,4249,41.7%,2964,29.1%,0,0.0%,7213,70.9%
deaths,70-79,786,7.7%,1093,10.7%,0,0.0%,1879,18.5%
deaths,60-69,284,2.8%,464,4.6%,0,0.0%,748,7.3%
deaths,50-59,106,1.0%,140,1.4%,0,0.0%,246,2.4%
deaths,40-49,21,0.2%,42,0.4%,0,0.0%,63,0.6%
deaths,30-39,6,0.1%,11,0.1%,0,0.0%,17,0.2%
deaths,20-29,3,0.0%,7,0.1%,0,0.0%,10,0.1%
deaths,0-19,1,0.0%,1,0.0%,0,0.0%,2,0.0%
deaths,total,5456,53.6%,4722,46.4%,0,0.0%,10178,100.0%
