Gender,Age_Group,RHA,Total_Cases,ObjectId
Female,99+,All,3,121
Female,99+,Interlake-Eastern,0,122
Female,99+,Northern,0,123
Female,99+,Prairie Mountain Health,0,124
Female,99+,Southern Health-Santé Sud,1,125
Female,99+,Winnipeg,2,126
Male,99+,All,0,127
Male,99+,Interlake-Eastern,0,128
Male,99+,Northern,0,129
Male,99+,Prairie Mountain Health,0,130
Male,99+,Southern Health-Santé Sud,0,131
Male,99+,Winnipeg,0,132
Female,90-99,All,30,109
Female,90-99,Interlake-Eastern,0,110
Female,90-99,Northern,0,111
Female,90-99,Prairie Mountain Health,2,112
Female,90-99,Southern Health-Santé Sud,5,113
Female,90-99,Winnipeg,23,114
Male,90-99,All,7,115
Male,90-99,Interlake-Eastern,0,116
Male,90-99,Northern,0,117
Male,90-99,Prairie Mountain Health,1,118
Male,90-99,Southern Health-Santé Sud,1,119
Male,90-99,Winnipeg,5,120
Female,80-89,All,68,97
Female,80-89,Interlake-Eastern,3,98
Female,80-89,Northern,0,99
Female,80-89,Prairie Mountain Health,8,100
Female,80-89,Southern Health-Santé Sud,9,101
Female,80-89,Winnipeg,48,102
Male,80-89,All,52,103
Male,80-89,Interlake-Eastern,2,104
Male,80-89,Northern,0,105
Male,80-89,Prairie Mountain Health,3,106
Male,80-89,Southern Health-Santé Sud,12,107
Male,80-89,Winnipeg,35,108
Female,70-79,All,102,85
Female,70-79,Interlake-Eastern,12,86
Female,70-79,Northern,0,87
Female,70-79,Prairie Mountain Health,9,88
Female,70-79,Southern Health-Santé Sud,23,89
Female,70-79,Winnipeg,58,90
Male,70-79,All,95,91
Male,70-79,Interlake-Eastern,13,92
Male,70-79,Northern,1,93
Male,70-79,Prairie Mountain Health,8,94
Male,70-79,Southern Health-Santé Sud,17,95
Male,70-79,Winnipeg,56,96
Female,60-69,All,171,73
Female,60-69,Interlake-Eastern,18,74
Female,60-69,Northern,3,75
Female,60-69,Prairie Mountain Health,15,76
Female,60-69,Southern Health-Santé Sud,27,77
Female,60-69,Winnipeg,108,78
Male,60-69,All,177,79
Male,60-69,Interlake-Eastern,18,80
Male,60-69,Northern,5,81
Male,60-69,Prairie Mountain Health,21,82
Male,60-69,Southern Health-Santé Sud,29,83
Male,60-69,Winnipeg,104,84
Female,50-59,All,283,61
Female,50-59,Interlake-Eastern,26,62
Female,50-59,Northern,8,63
Female,50-59,Prairie Mountain Health,26,64
Female,50-59,Southern Health-Santé Sud,55,65
Female,50-59,Winnipeg,168,66
Male,50-59,All,238,67
Male,50-59,Interlake-Eastern,21,68
Male,50-59,Northern,4,69
Male,50-59,Prairie Mountain Health,35,70
Male,50-59,Southern Health-Santé Sud,32,71
Male,50-59,Winnipeg,146,72
Female,40-49,All,292,49
Female,40-49,Interlake-Eastern,32,50
Female,40-49,Northern,6,51
Female,40-49,Prairie Mountain Health,43,52
Female,40-49,Southern Health-Santé Sud,47,53
Female,40-49,Winnipeg,164,54
Male,40-49,All,267,55
Male,40-49,Interlake-Eastern,15,56
Male,40-49,Northern,6,57
Male,40-49,Prairie Mountain Health,51,58
Male,40-49,Southern Health-Santé Sud,49,59
Male,40-49,Winnipeg,146,60
Female,30-39,All,353,37
Female,30-39,Interlake-Eastern,16,38
Female,30-39,Northern,6,39
Female,30-39,Prairie Mountain Health,63,40
Female,30-39,Southern Health-Santé Sud,55,41
Female,30-39,Winnipeg,213,42
Male,30-39,All,377,43
Male,30-39,Interlake-Eastern,23,44
Male,30-39,Northern,12,45
Male,30-39,Prairie Mountain Health,73,46
Male,30-39,Southern Health-Santé Sud,42,47
Male,30-39,Winnipeg,227,48
Female,20-29,All,424,25
Female,20-29,Interlake-Eastern,37,26
Female,20-29,Northern,7,27
Female,20-29,Prairie Mountain Health,53,28
Female,20-29,Southern Health-Santé Sud,43,29
Female,20-29,Winnipeg,284,30
Male,20-29,All,444,31
Male,20-29,Interlake-Eastern,27,32
Male,20-29,Northern,8,33
Male,20-29,Prairie Mountain Health,59,34
Male,20-29,Southern Health-Santé Sud,52,35
Male,20-29,Winnipeg,298,36
Female,10-19,All,213,13
Female,10-19,Interlake-Eastern,13,14
Female,10-19,Northern,5,15
Female,10-19,Prairie Mountain Health,37,16
Female,10-19,Southern Health-Santé Sud,25,17
Female,10-19,Winnipeg,133,18
Male,10-19,All,242,19
Male,10-19,Interlake-Eastern,21,20
Male,10-19,Northern,10,21
Male,10-19,Prairie Mountain Health,50,22
Male,10-19,Southern Health-Santé Sud,22,23
Male,10-19,Winnipeg,139,24
Female,0-9,All,118,1
Female,0-9,Interlake-Eastern,14,2
Female,0-9,Northern,4,3
Female,0-9,Prairie Mountain Health,13,4
Female,0-9,Southern Health-Santé Sud,7,5
Female,0-9,Winnipeg,80,6
Male,0-9,All,132,7
Male,0-9,Interlake-Eastern,14,8
Male,0-9,Northern,5,9
Male,0-9,Prairie Mountain Health,23,10
Male,0-9,Southern Health-Santé Sud,13,11
Male,0-9,Winnipeg,77,12
