Gender,Age_Group,RHA,Total_Cases,ObjectId
Female,99+,All,2,121
Female,99+,Interlake-Eastern,0,122
Female,99+,Northern,0,123
Female,99+,Prairie Mountain Health,0,124
Female,99+,Southern Health-Santé Sud,1,125
Female,99+,Winnipeg,1,126
Male,99+,All,0,127
Male,99+,Interlake-Eastern,0,128
Male,99+,Northern,0,129
Male,99+,Prairie Mountain Health,0,130
Male,99+,Southern Health-Santé Sud,0,131
Male,99+,Winnipeg,0,132
Female,90-99,All,29,109
Female,90-99,Interlake-Eastern,0,110
Female,90-99,Northern,0,111
Female,90-99,Prairie Mountain Health,2,112
Female,90-99,Southern Health-Santé Sud,5,113
Female,90-99,Winnipeg,22,114
Male,90-99,All,6,115
Male,90-99,Interlake-Eastern,0,116
Male,90-99,Northern,0,117
Male,90-99,Prairie Mountain Health,1,118
Male,90-99,Southern Health-Santé Sud,1,119
Male,90-99,Winnipeg,4,120
Female,80-89,All,56,97
Female,80-89,Interlake-Eastern,3,98
Female,80-89,Northern,0,99
Female,80-89,Prairie Mountain Health,8,100
Female,80-89,Southern Health-Santé Sud,8,101
Female,80-89,Winnipeg,37,102
Male,80-89,All,46,103
Male,80-89,Interlake-Eastern,2,104
Male,80-89,Northern,0,105
Male,80-89,Prairie Mountain Health,3,106
Male,80-89,Southern Health-Santé Sud,11,107
Male,80-89,Winnipeg,30,108
Female,70-79,All,90,85
Female,70-79,Interlake-Eastern,12,86
Female,70-79,Northern,0,87
Female,70-79,Prairie Mountain Health,9,88
Female,70-79,Southern Health-Santé Sud,21,89
Female,70-79,Winnipeg,48,90
Male,70-79,All,85,91
Male,70-79,Interlake-Eastern,11,92
Male,70-79,Northern,1,93
Male,70-79,Prairie Mountain Health,8,94
Male,70-79,Southern Health-Santé Sud,16,95
Male,70-79,Winnipeg,49,96
Female,60-69,All,157,73
Female,60-69,Interlake-Eastern,17,74
Female,60-69,Northern,3,75
Female,60-69,Prairie Mountain Health,14,76
Female,60-69,Southern Health-Santé Sud,25,77
Female,60-69,Winnipeg,98,78
Male,60-69,All,170,79
Male,60-69,Interlake-Eastern,18,80
Male,60-69,Northern,5,81
Male,60-69,Prairie Mountain Health,19,82
Male,60-69,Southern Health-Santé Sud,29,83
Male,60-69,Winnipeg,99,84
Female,50-59,All,260,61
Female,50-59,Interlake-Eastern,25,62
Female,50-59,Northern,5,63
Female,50-59,Prairie Mountain Health,25,64
Female,50-59,Southern Health-Santé Sud,52,65
Female,50-59,Winnipeg,153,66
Male,50-59,All,213,67
Male,50-59,Interlake-Eastern,18,68
Male,50-59,Northern,3,69
Male,50-59,Prairie Mountain Health,33,70
Male,50-59,Southern Health-Santé Sud,30,71
Male,50-59,Winnipeg,129,72
Female,40-49,All,265,49
Female,40-49,Interlake-Eastern,28,50
Female,40-49,Northern,4,51
Female,40-49,Prairie Mountain Health,41,52
Female,40-49,Southern Health-Santé Sud,43,53
Female,40-49,Winnipeg,149,54
Male,40-49,All,253,55
Male,40-49,Interlake-Eastern,14,56
Male,40-49,Northern,5,57
Male,40-49,Prairie Mountain Health,50,58
Male,40-49,Southern Health-Santé Sud,46,59
Male,40-49,Winnipeg,138,60
Female,30-39,All,320,37
Female,30-39,Interlake-Eastern,15,38
Female,30-39,Northern,5,39
Female,30-39,Prairie Mountain Health,61,40
Female,30-39,Southern Health-Santé Sud,48,41
Female,30-39,Winnipeg,191,42
Male,30-39,All,354,43
Male,30-39,Interlake-Eastern,21,44
Male,30-39,Northern,10,45
Male,30-39,Prairie Mountain Health,70,46
Male,30-39,Southern Health-Santé Sud,37,47
Male,30-39,Winnipeg,216,48
Female,20-29,All,402,25
Female,20-29,Interlake-Eastern,35,26
Female,20-29,Northern,4,27
Female,20-29,Prairie Mountain Health,54,28
Female,20-29,Southern Health-Santé Sud,40,29
Female,20-29,Winnipeg,269,30
Male,20-29,All,418,31
Male,20-29,Interlake-Eastern,26,32
Male,20-29,Northern,7,33
Male,20-29,Prairie Mountain Health,57,34
Male,20-29,Southern Health-Santé Sud,43,35
Male,20-29,Winnipeg,285,36
Female,10-19,All,199,13
Female,10-19,Interlake-Eastern,12,14
Female,10-19,Northern,2,15
Female,10-19,Prairie Mountain Health,36,16
Female,10-19,Southern Health-Santé Sud,24,17
Female,10-19,Winnipeg,125,18
Male,10-19,All,221,19
Male,10-19,Interlake-Eastern,19,20
Male,10-19,Northern,7,21
Male,10-19,Prairie Mountain Health,49,22
Male,10-19,Southern Health-Santé Sud,21,23
Male,10-19,Winnipeg,125,24
Female,0-9,All,104,1
Female,0-9,Interlake-Eastern,14,2
Female,0-9,Northern,4,3
Female,0-9,Prairie Mountain Health,12,4
Female,0-9,Southern Health-Santé Sud,7,5
Female,0-9,Winnipeg,67,6
Male,0-9,All,123,7
Male,0-9,Interlake-Eastern,14,8
Male,0-9,Northern,4,9
Male,0-9,Prairie Mountain Health,22,10
Male,0-9,Southern Health-Santé Sud,12,11
Male,0-9,Winnipeg,71,12
