Date,RHA,Daily_Cases,Cumulative_Cases,Active_Cases,Recoveries,Deaths,ObjectId
2020-03-13,All,2,2,2,0,0,1
2020-03-13,Interlake-Eastern,0,0,0,0,0,2
2020-03-13,Northern,0,0,0,0,0,3
2020-03-13,Prairie Mountain Health,0,0,0,0,0,4
2020-03-13,Southern Health-Santé Sud,0,0,0,0,0,5
2020-03-13,Winnipeg,2,2,2,0,0,6
2020-03-14,All,1,3,3,0,0,7
2020-03-14,Interlake-Eastern,0,0,0,0,0,8
2020-03-14,Northern,0,0,0,0,0,9
2020-03-14,Prairie Mountain Health,0,0,0,0,0,10
2020-03-14,Southern Health-Santé Sud,0,0,0,0,0,11
2020-03-14,Winnipeg,1,3,3,0,0,12
2020-03-15,All,0,3,3,0,0,13
2020-03-15,Interlake-Eastern,0,0,0,0,0,14
2020-03-15,Northern,0,0,0,0,0,15
2020-03-15,Prairie Mountain Health,0,0,0,0,0,16
2020-03-15,Southern Health-Santé Sud,0,0,0,0,0,17
2020-03-15,Winnipeg,0,3,3,0,0,18
2020-03-16,All,3,6,6,0,0,19
2020-03-16,Interlake-Eastern,1,1,1,0,0,20
2020-03-16,Northern,0,0,0,0,0,21
2020-03-16,Prairie Mountain Health,0,0,0,0,0,22
2020-03-16,Southern Health-Santé Sud,0,0,0,0,0,23
2020-03-16,Winnipeg,2,5,5,0,0,24
2020-03-17,All,1,7,7,0,0,25
2020-03-17,Interlake-Eastern,0,1,1,0,0,26
2020-03-17,Northern,0,0,0,0,0,27
2020-03-17,Prairie Mountain Health,0,0,0,0,0,28
2020-03-17,Southern Health-Santé Sud,0,0,0,0,0,29
2020-03-17,Winnipeg,1,6,6,0,0,30
2020-03-18,All,7,14,14,0,0,31
2020-03-18,Interlake-Eastern,0,1,1,0,0,32
2020-03-18,Northern,0,0,0,0,0,33
2020-03-18,Prairie Mountain Health,0,0,0,0,0,34
2020-03-18,Southern Health-Santé Sud,2,2,2,0,0,35
2020-03-18,Winnipeg,5,11,11,0,0,36
2020-03-19,All,1,15,14,1,0,37
2020-03-19,Interlake-Eastern,0,1,1,0,0,38
2020-03-19,Northern,0,0,0,0,0,39
2020-03-19,Prairie Mountain Health,0,0,0,1,0,40
2020-03-19,Southern Health-Santé Sud,0,2,2,0,0,41
2020-03-19,Winnipeg,1,12,12,0,0,42
2020-03-20,All,1,16,15,1,0,43
2020-03-20,Interlake-Eastern,0,1,1,0,0,44
2020-03-20,Northern,0,0,0,0,0,45
2020-03-20,Prairie Mountain Health,0,0,0,1,0,46
2020-03-20,Southern Health-Santé Sud,0,2,2,0,0,47
2020-03-20,Winnipeg,1,13,13,0,0,48
2020-03-21,All,0,16,15,1,0,49
2020-03-21,Interlake-Eastern,0,1,1,0,0,50
2020-03-29,Southern Health-Santé Sud,1,6,3,3,0,51
2020-03-29,Winnipeg,18,76,69,6,1,52
2020-03-30,All,9,105,91,13,1,53
2020-03-30,Interlake-Eastern,0,4,4,0,0,54
2020-03-30,Northern,0,1,1,0,0,55
2020-03-30,Prairie Mountain Health,0,9,8,1,0,56
2020-03-30,Southern Health-Santé Sud,0,6,2,4,0,57
2020-03-30,Winnipeg,9,85,76,8,1,58
2020-03-31,All,27,132,114,17,1,59
2020-03-31,Interlake-Eastern,1,5,5,0,0,60
2020-03-31,Northern,0,1,1,0,0,61
2020-03-31,Prairie Mountain Health,1,10,9,1,0,62
2020-03-31,Southern Health-Santé Sud,2,8,4,4,0,63
2020-03-31,Winnipeg,23,108,95,12,1,64
2020-04-01,All,33,165,143,21,1,65
2020-04-01,Interlake-Eastern,3,8,8,0,0,66
2020-04-01,Northern,1,2,1,1,0,67
2020-04-01,Prairie Mountain Health,0,10,8,2,0,68
2020-04-01,Southern Health-Santé Sud,7,15,11,4,0,69
2020-04-01,Winnipeg,22,130,115,14,1,70
2020-04-02,All,16,181,154,25,2,71
2020-04-02,Interlake-Eastern,1,9,9,0,0,72
2020-04-02,Northern,0,2,1,1,0,73
2020-04-02,Prairie Mountain Health,1,11,9,2,0,74
2020-04-02,Southern Health-Santé Sud,4,19,15,4,0,75
2020-04-02,Winnipeg,10,140,120,18,2,76
2020-04-03,All,10,191,152,37,2,77
2020-04-03,Interlake-Eastern,2,11,10,1,0,78
2020-04-03,Northern,0,2,1,1,0,79
2020-04-03,Prairie Mountain Health,0,11,7,4,0,80
2020-04-03,Southern Health-Santé Sud,1,20,15,5,0,81
2020-04-03,Winnipeg,7,147,119,26,2,82
2020-04-04,All,11,202,162,38,2,83
2020-04-04,Interlake-Eastern,0,11,10,1,0,84
2020-04-04,Northern,0,2,1,1,0,85
2020-04-04,Prairie Mountain Health,0,11,7,4,0,86
2020-04-04,Southern Health-Santé Sud,4,24,18,6,0,87
2020-04-04,Winnipeg,7,154,126,26,2,88
2020-04-05,All,1,203,159,42,2,89
2020-04-05,Interlake-Eastern,0,11,10,1,0,90
2020-04-05,Northern,0,2,1,1,0,91
2020-04-05,Prairie Mountain Health,0,11,6,5,0,92
2020-04-05,Southern Health-Santé Sud,0,24,18,6,0,93
2020-04-15,Northern,0,3,0,3,0,94
2020-04-05,Winnipeg,1,155,124,29,2,95
2020-04-06,All,13,216,140,73,3,96
2020-04-06,Interlake-Eastern,0,11,10,1,0,97
