collected_date,reported_date,lcc_name,municipality,confirmed_child_cases,confirmed_staff_provider_cases,confirmed_unspecified_cases,total_confirmed_cases
2020-09-14,2020-09-15,Andrew Fleck Home Child Care (two locations),Ottawa,2,1,0,7
2020-09-14,2020-09-15,Centre des Petits d’Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-14,2020-09-15,Centre éducatif Coeur des Jeunes Roger-Saint-Denis,Kanata,0,1,0,1
2020-09-14,2020-09-15,Centrepointe Home Care Agency (one location),Nepean,5,0,0,5
2020-09-14,2020-09-15,Children’s Village of Ottawa-Carleton Home Child Care Program (two locations),Ottawa,0,0,0,2
2020-09-14,2020-09-15,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-14,2020-09-15,Fenside Drive Children's Centre Inc.,Toronto,1,0,0,1
2020-09-14,2020-09-15,Global Home Child Care (one location),Ottawa,0,0,0,1
2020-09-14,2020-09-15,Kids Zone Childcare Centre,Mississauga,1,1,0,2
2020-09-14,2020-09-15,Le Ballon Rouge Brantford,Brantford,0,1,0,1
2020-09-14,2020-09-15,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-14,2020-09-15,PLP Early Learning Centre at St. Mark (op: Park Lawn Preschool Inc.),Toronto,0,1,0,1
2020-09-14,2020-09-15,Rexdale Home Child Care Agency (PHDC) (three locations),Toronto,2,3,0,8
2020-09-14,2020-09-15,Sunnyside - Keele,Toronto,1,2,0,3
2020-09-14,2020-09-15,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,0,1
2020-09-14,2020-09-15,Toronto Home Child Care Agency (#0000415) (City of Toronto) (one location),Toronto,0,0,0,1
2020-09-14,2020-09-15,Trillium School Age Program,Orleans,1,0,0,1
2020-09-14,2020-09-15,Woodgreen Community Services (Enderby Child Care),Toronto,1,0,0,1
2020-09-15,2020-09-16,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
2020-09-15,2020-09-16,Andrew Fleck Home Child Care (two locations),Ottawa,2,1,0,7
2020-09-15,2020-09-16,Centre des Petits d’Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-15,2020-09-16,Centre éducatif Coeur des Jeunes Roger-Saint-Denis,Kanata,0,1,0,1
2020-09-15,2020-09-16,Children’s Village of Ottawa-Carleton Home Child Care Program (two locations),Ottawa,0,0,0,2
2020-09-15,2020-09-16,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-15,2020-09-16,Fenside Drive Children's Centre Inc.,Toronto,0,1,0,1
2020-09-15,2020-09-16,Global Home Child Care (one location),Ottawa,0,0,0,1
2020-09-15,2020-09-16,Kids Zone Childcare Centre,Mississauga,1,1,0,2
2020-09-15,2020-09-16,"La Coccinelle, Arc-en-Ciel",Cumberland,0,1,0,1
2020-09-15,2020-09-16,Le Ballon Rouge Brantford,Brantford,0,1,0,1
2020-09-15,2020-09-16,Macaulay Child Development Centre (The) (PHDC) (one location),Toronto,0,0,0,1
2020-09-15,2020-09-16,MIFO école St. Joseph d'Orléans,Orleans,0,1,0,1
2020-09-15,2020-09-16,Network Child Care Services - PHDC (one location),Toronto,0,0,0,1
2020-09-15,2020-09-16,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-15,2020-09-16,Rexdale Home Child Care Agency (PHDC) (three locations),Toronto,2,3,0,8
2020-09-15,2020-09-16,Sunnyside - Keele,Toronto,1,2,0,3
2020-09-15,2020-09-16,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,0,1
2020-09-15,2020-09-16,Toronto Home Child Care Agency (#0000415) (City of Toronto) (one location),Toronto,0,0,0,1
2020-09-15,2020-09-16,Trillium School Age Program,Orleans,1,0,0,1
2020-09-15,2020-09-16,Woodgreen Community Services (Enderby Child Care),Toronto,1,0,0,1
2020-09-16,2020-09-17,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
2020-09-16,2020-09-17,Andrew Fleck Home Child Care (one location),Ottawa,0,1,0,1
2020-09-16,2020-09-17,Centre des Petits d'Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-16,2020-09-17,City View Centre for Child & Family Services (Group Care) (one location),Ottawa,0,1,0,1
2020-09-16,2020-09-17,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-16,2020-09-17,Fenside Drive Children's Centre Inc.,Toronto,0,1,0,1
2020-09-16,2020-09-17,Kids Zone Childcare Centre,Mississauga,1,1,0,2
2020-09-16,2020-09-17,"La Coccinelle, Arc-en-Ciel",Cumberland,0,1,0,1
2020-09-16,2020-09-17,MIFO école St. Joseph d'Orléans,Orléans,0,1,0,1
2020-09-16,2020-09-17,Nottingham YMCA Schoolage,Ajax,1,0,0,1
2020-09-16,2020-09-17,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-16,2020-09-17,Rexdale Home Child Care Agency (PHDC) (three locations),Toronto,2,3,0,5
2020-09-16,2020-09-17,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,0,1
2020-09-16,2020-09-17,Trillium School Age Program,Orleans,1,0,0,1
2020-09-16,2020-09-17,Woodgreen Community Services (Enderby Child Care),Toronto,1,0,0,1
2020-09-17,2020-09-18,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
2020-09-17,2020-09-18,Andrew Fleck Home Child Care,Ottawa,0,1,0,1
2020-09-17,2020-09-18,Brian W. Fleming Early Learning and Child Care Centre ,Mississauga,0,1,0,1
2020-09-17,2020-09-18,Centre des Petits d'Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-17,2020-09-18,City View Centre for Child & Family Services (Group Care),Ottawa,0,1,0,1
2020-09-17,2020-09-18,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-17,2020-09-18,Family Day Care Services - St. Valentine Before & After School Program,Mississauga,0,1,0,1
2020-09-17,2020-09-18,Fenside Drive Children's Centre Inc.,Toronto,0,1,0,1
2020-09-17,2020-09-18,Garderie Tunney's Day Care,Ottawa,0,1,0,1
2020-09-17,2020-09-18,Kids Zone Childcare Centre,Mississauga,1,1,0,2
2020-09-17,2020-09-18,"La Coccinelle, Arc-en-Ciel",Cumberland,0,1,0,1
2020-09-17,2020-09-18,MIFO école St. Joseph d'Orléans,Orléans,0,1,0,1
2020-09-17,2020-09-18,Nottingham YMCA Schoolage,Ajax,1,0,0,1
2020-09-17,2020-09-18,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-17,2020-09-18,PLASP - Dixie Public School,Mississauga,0,1,0,1
2020-09-17,2020-09-18,Rexdale Home Child Care Agency (PHDC),Toronto,2,3,0,5
2020-09-17,2020-09-18,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,0,1
2020-09-17,2020-09-18,Trillium School Age Program,Orleans,1,0,0,1
2020-09-17,2020-09-18,Wee Watch Private Home Daycare - Kanata / Hunt Club,Nepean,1,0,0,1
2020-09-17,2020-09-18,Woodgreen Community Services (Enderby Child Care),Toronto,1,0,0,1
2020-09-18,2020-09-21,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
2020-09-18,2020-09-21,Andrew Fleck Home Child Care (one location),Ottawa,0,1,0,1
2020-09-18,2020-09-21,Brian W. Fleming Early Learning and Child Care Centre ,Mississauga,0,1,0,1
2020-09-18,2020-09-21,Centre des Petits d'Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-18,2020-09-21,City View Centre for Child & Family Services (Group Care) (one location),Ottawa,0,1,0,1
2020-09-18,2020-09-21,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-18,2020-09-21,Family Day Care Services - St. Valentine Before & After School Program,Mississauga,0,1,0,1
2020-09-18,2020-09-21,Fenside Drive Children's Centre Inc.,Toronto,0,1,0,1
2020-09-18,2020-09-21,Garderie Tunney's Day Care,Ottawa,0,1,0,1
2020-09-18,2020-09-21,Kids Zone Childcare Centre,Mississauga,1,1,0,2
2020-09-18,2020-09-21,"La Coccinelle, Arc-en-Ciel",Cumberland,0,1,0,1
2020-09-18,2020-09-21,MIFO école St. Joseph d'Orléans,Orléans,0,1,0,1
2020-09-18,2020-09-21,Montessori School House Inc,Maple,1,0,0,1
2020-09-18,2020-09-21,Nottingham YMCA Schoolage,Ajax,1,0,0,1
2020-09-18,2020-09-21,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-18,2020-09-21,Palmerston Community Daycare,Toronto,1,0,0,1
2020-09-18,2020-09-21,PLASP - Dixie Public School,Mississauga,0,1,0,1
2020-09-18,2020-09-21,Rexdale Home Child Care Agency (PHDC) (three locations),Toronto,2,3,0,5
2020-09-18,2020-09-21,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,0,1
2020-09-18,2020-09-21,Toronto Home Child Care Agency (#0000415) (City of Toronto) (one location),Toronto,1,0,0,1
2020-09-18,2020-09-21,Trillium School Age Program,Orleans,1,0,0,1
2020-09-18,2020-09-21,Umbrella Family - Templemead,Hamilton,0,1,0,1
2020-09-18,2020-09-21,Wee Watch Private Home Daycare - Kanata / Hunt Club (one location),Nepean,1,0,0,1
2020-09-18,2020-09-21,Woodgreen Community Services (Enderby Child Care),Toronto,1,0,0,1
2020-09-21,2020-09-22,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
2020-09-21,2020-09-22,Andrew Fleck Home Child Care (one location),Ottawa,0,1,0,1
2020-09-21,2020-09-22,Brian W. Fleming Early Learning and Child Care Centre ,Mississauga,0,1,0,1
2020-09-21,2020-09-22,BrightPath Eglinton,Toronto,1,0,0,1
2020-09-21,2020-09-22,Centre des Petits d'Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-21,2020-09-22,Childventures Early Learning Academy Aurora,Aurora,0,1,0,1
2020-09-21,2020-09-22,City View Centre for Child & Family Services (Group Care) (one location),Ottawa,0,1,0,1
2020-09-21,2020-09-22,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-21,2020-09-22,Family Day Care Services - St. Valentine Before & After School Program,Mississauga,0,1,0,1
2020-09-21,2020-09-22,Fenside Drive Children's Centre Inc.,Toronto,0,1,0,1
2020-09-21,2020-09-22,FunCare Learning Centre,Elmira,1,0,0,1
2020-09-21,2020-09-22,Garderie Éducative Renée Tassé,Ottawa,1,1,0,2
2020-09-21,2020-09-22,Garderie Tunney's Day Care,Ottawa,0,1,0,1
2020-09-21,2020-09-22,Glebe Parents' Daycare First Avenue Campus,Ottawa,1,0,0,1
2020-09-21,2020-09-22,Helping Hands - Whitby,Whitby,1,0,0,1
2020-09-21,2020-09-22,Kiddies Lodge Daycare Centre,Toronto,1,0,0,1
2020-09-21,2020-09-22,"La Coccinelle, Arc-en-Ciel",Cumberland,0,1,0,1
2020-09-21,2020-09-22,"Le Cerf-Volant, George-Étienne-Cartier",Ottawa,0,1,0,1
2020-09-21,2020-09-22,Locomotion Day Care Centre - Full Day ,Tottenham,1,0,0,1
2020-09-21,2020-09-22,MIFO école St. Joseph d'Orléans,Orléans,0,1,0,1
2020-09-21,2020-09-22,Montessori School House Inc,Maple,1,0,0,1
2020-09-21,2020-09-22,Nottingham YMCA Schoolage,Ajax,1,0,0,1
2020-09-21,2020-09-22,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-21,2020-09-22,Palmerston Community Daycare,Toronto,1,0,0,1
2020-09-21,2020-09-22,PLASP - Dixie Public School,Mississauga,0,1,0,1
2020-09-21,2020-09-22,Progress Childcare (Scarborough Inc. #1)  (3 Glamorgan),Toronto,0,1,0,1
2020-09-21,2020-09-22,Rexdale Home Child Care Agency (PHDC) (3 locations),Toronto,2,3,0,5
2020-09-21,2020-09-22,Silver Creek Pre-School (Silver Creek Centre for Early Learning & Development),Toronto,2,0,0,2
2020-09-21,2020-09-22,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,0,1
2020-09-21,2020-09-22,Toronto Home Child Care Agency (#0000415) (City of Toronto) (one location),Toronto,1,0,0,1
2020-09-21,2020-09-22,Trillium School Age Program,Orleans,1,0,0,1
2020-09-21,2020-09-22,Umbrella Family - Templemead,Hamilton,0,1,0,1
2020-09-21,2020-09-22,Walnut St. Junior School,Whitby,1,0,0,1
2020-09-21,2020-09-22,Wee Watch Private Home Daycare - Kanata / Hunt Club (one location),Nepean,1,0,0,1
2020-09-21,2020-09-22,Woodgreen Community Services (Enderby Child Care),Toronto,1,0,0,1
2020-09-21,2020-09-22,YWCA KW St. Paul Childcare,Kitchener,1,0,0,1
2020-09-22,2020-09-23,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
2020-09-22,2020-09-23,Andrew Fleck Home Child Care (one location),Ottawa,0,1,0,1
2020-09-22,2020-09-23,Brian W. Fleming Early Learning and Child Care Centre ,Mississauga,0,1,0,1
2020-09-22,2020-09-23,BrightPath Eglinton,Toronto,1,0,0,1
2020-09-22,2020-09-23,Cardinal Leger Child Care Centre (Scarborough),Toronto,0,1,0,1
2020-09-22,2020-09-23,Centre des Petits d'Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-22,2020-09-23,Centre éducatif Brin de Soleil - Horizon Jeunesse,Ottawa,1,0,0,1
2020-09-22,2020-09-23,Childventures Early Learning Academy Aurora,Aurora,0,1,0,1
2020-09-22,2020-09-23,City View Centre for Child & Family Services (Group Care) (one location),Ottawa,0,1,0,1
2020-09-22,2020-09-23,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-22,2020-09-23,Family Day Care Services - St. Valentine Before & After School Program,Mississauga,0,1,0,1
2020-09-22,2020-09-23,Fenside Drive Children's Centre Inc.,Toronto,0,1,0,1
2020-09-22,2020-09-23,FunCare Learning Centre,Elmira,1,0,0,1
2020-09-22,2020-09-23,Garderie Éducative Renée Tassé,Ottawa,1,1,0,2
2020-09-22,2020-09-23,Garderie Tunney's Day Care,Ottawa,0,1,0,1
2020-09-22,2020-09-23,Glebe Parents' Daycare First Avenue Campus,Ottawa,1,0,0,1
2020-09-22,2020-09-23,Global Home Child Care (one location),Ottawa,0,1,0,1
2020-09-22,2020-09-23,Inspiring Minds Early Learning Centre,Wellesley,0,1,0,1
2020-09-22,2020-09-23,Kiddies Lodge Daycare Centre,Toronto,1,0,0,1
2020-09-22,2020-09-23,"La Coccinelle, Arc-en-Ciel",Cumberland,0,1,0,1
2020-09-22,2020-09-23,"Le Cerf-Volant, George-Étienne-Cartier",Ottawa,0,1,0,1
2020-09-22,2020-09-23,Locomotion Day Care Centre - Full Day ,Tottenham,1,0,0,1
2020-09-22,2020-09-23,MIFO école des Voyageurs,Orléans,0,3,0,3
2020-09-22,2020-09-23,MIFO école St. Joseph d'Orléans,Orléans,0,1,0,1
2020-09-22,2020-09-23,Montessori School House Inc,Maple,1,0,0,1
2020-09-22,2020-09-23,Nottingham YMCA Schoolage,Ajax,1,0,0,1
2020-09-22,2020-09-23,OAKVILLE FAMILY YMCA SACC - SUNNINGDALE,Oakville,2,0,0,2
2020-09-22,2020-09-23,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-22,2020-09-23,Palmerston Community Daycare,Toronto,1,0,0,1
2020-09-22,2020-09-23,PLASP - Dixie Public School,Mississauga,0,1,0,1
2020-09-22,2020-09-23,PLASP - ST. Raphael Catholic School,Mississauga,0,1,0,1
2020-09-22,2020-09-23,Progress Childcare (Scarborough Inc. #1)  (3 Glamorgan),Toronto,0,1,0,1
2020-09-22,2020-09-23,Rexdale Home Child Care Agency (PHDC) (three locations),Toronto,2,3,0,5
2020-09-22,2020-09-23,Silver Creek Pre-School (Silver Creek Centre for Early Learning & Development),Toronto,2,0,0,2
2020-09-22,2020-09-23,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,0,1
2020-09-22,2020-09-23,Toronto Home Child Care Agency (#0000415) (City of Toronto) (one location),Toronto,1,0,0,1
2020-09-22,2020-09-23,Trillium School Age Program,Orleans,1,0,0,1
2020-09-22,2020-09-23,Umbrella Family - Templemead,Hamilton,0,1,0,1
2020-09-22,2020-09-23,Wee Watch Private Home Day Care-East (one location),Russell ,0,1,0,1
2020-09-22,2020-09-23,Wee Watch Private Home Daycare - Kanata / Hunt Club (one location),Nepean,1,0,0,1
2020-09-22,2020-09-23,Woodgreen Community Services (Enderby Child Care),Toronto,1,0,0,1
2020-09-22,2020-09-23,YWCA KW St. Paul Childcare,Kitchener,1,0,0,1
2020-09-23,2020-09-24,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
2020-09-23,2020-09-24,Andrew Fleck Home Child Care,Ottawa,0,1,0,1
2020-09-23,2020-09-24,Brian W. Fleming Early Learning and Child Care Centre ,Mississauga,0,1,0,1
2020-09-23,2020-09-24,BrightPath Eglinton,Toronto,1,0,0,1
2020-09-23,2020-09-24,Bruce Trail Early Learning and Child Care Centre,Milton,0,1,0,1
2020-09-23,2020-09-24,Cardinal Leger Child Care Centre (Scarborough),Toronto,0,1,0,1
2020-09-23,2020-09-24,Centre des Petits d'Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-23,2020-09-24,Centre éducatif Brin de Soleil - Horizon Jeunesse,Ottawa,1,0,0,1
2020-09-23,2020-09-24,Childventures Early Learning Academy Aurora,Aurora,0,1,0,1
2020-09-23,2020-09-24,City View Centre for Child & Family Services (Group Care),Ottawa,0,1,0,1
2020-09-23,2020-09-24,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-23,2020-09-24,Family Day Care Services - St. Valentine Before & After School Program,Mississauga,0,1,0,1
2020-09-23,2020-09-24,Fenside Drive Children's Centre Inc.,Toronto,0,1,0,1
2020-09-23,2020-09-24,FunCare Learning Centre,Elmira,1,0,0,1
2020-09-23,2020-09-24,Garderie Éducative Renée Tassé,Ottawa,1,1,0,2
2020-09-23,2020-09-24,Garderie Tunney's Day Care,Ottawa,0,1,0,1
2020-09-23,2020-09-24,Glebe Parents' Daycare First Avenue Campus,Ottawa,1,0,0,1
2020-09-23,2020-09-24,Global Home Child Care,Ottawa,0,1,0,1
2020-09-23,2020-09-24,Inspiring Minds Early Learning Centre,Wellesley,0,1,0,1
2020-09-23,2020-09-24,Kiddies Lodge Daycare Centre,Toronto,1,0,0,1
2020-09-23,2020-09-24,"La Coccinelle, Arc-en-Ciel",Cumberland,0,1,0,1
2020-09-23,2020-09-24,Le Cerf-Volant - Édouard-Bond,Ottawa,1,0,0,1
2020-09-23,2020-09-24,"Le Cerf-Volant, George-Étienne-Cartier",Ottawa,0,1,0,1
2020-09-23,2020-09-24,Locomotion Day Care Centre - Full Day ,Tottenham,1,0,0,1
2020-09-23,2020-09-24,MIFO école des Voyageurs,Orléans,0,3,0,3
2020-09-23,2020-09-24,MIFO école St. Joseph d'Orléans,Orléans,0,1,0,1
2020-09-23,2020-09-24,Montessori School House Inc,Maple,1,0,0,1
2020-09-23,2020-09-24,Nottingham YMCA Schoolage,Ajax,1,0,0,1
2020-09-23,2020-09-24,OAKVILLE FAMILY YMCA SACC - SUNNINGDALE,Oakville,2,0,0,2
2020-09-23,2020-09-24,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-23,2020-09-24,Palmerston Community Daycare,Toronto,1,0,0,1
2020-09-23,2020-09-24,PLASP - Dixie Public School,Mississauga,0,1,0,1
2020-09-23,2020-09-24,PLASP - ST. Raphael Catholic School,Mississauga,0,1,0,1
2020-09-23,2020-09-24,Progress Childcare (Scarborough Inc. #1)  (3 Glamorgan),Toronto,0,1,0,1
2020-09-23,2020-09-24,Rexdale Home Child Care Agency (PHDC),Toronto,3,3,0,6
2020-09-23,2020-09-24,Silver Creek Pre-School (Silver Creek Centre for Early Learning & Development),Toronto,2,0,0,2
2020-09-23,2020-09-24,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,0,1
2020-09-23,2020-09-24,Toronto Home Child Care Agency (#0000415) (City of Toronto),Toronto,1,0,0,1
2020-09-23,2020-09-24,Trillium School Age Program,Orleans,1,0,0,1
2020-09-23,2020-09-24,Umbrella Family - Templemead,Hamilton,0,1,0,1
2020-09-23,2020-09-24,Wee Watch Private Home Day Care-East,Russell ,0,1,0,1
2020-09-23,2020-09-24,Wee Watch Private Home Daycare - Kanata / Hunt Club,Nepean,1,0,0,1
2020-09-23,2020-09-24,Woodgreen Community Services (Enderby Child Care),Toronto,1,0,0,1
2020-09-23,2020-09-24,YWCA KW St. Paul Childcare,Kitchener,1,0,0,1
2020-09-24,2020-09-25,Andrew Fleck Home Child Care,Ottawa,0,1,0,1
2020-09-24,2020-09-25,Brian W. Fleming Early Learning and Child Care Centre ,Mississauga,0,1,0,1
2020-09-24,2020-09-25,BrightPath Eglinton,Toronto,1,0,0,1
2020-09-24,2020-09-25,Bruce Trail Early Learning and Child Care Centre,Milton,0,1,0,1
2020-09-24,2020-09-25,Cardinal Leger Child Care Centre (Scarborough),Toronto,0,1,0,1
2020-09-24,2020-09-25,Centre des Petits d'Ottawa (2005) Inc.,Ottawa,0,1,0,1
2020-09-24,2020-09-25,Centre éducatif Brin de Soleil - Horizon Jeunesse,Ottawa,1,0,0,1
2020-09-24,2020-09-25,Childventures Early Learning Academy Aurora,Aurora,0,1,0,1
2020-09-24,2020-09-25,City View Centre for Child & Family Services (Group Care),Ottawa,0,1,0,1
2020-09-24,2020-09-25,Cumberland Hub Day Care,Orléans,1,0,0,1
2020-09-24,2020-09-25,Family Day Care Services - St. Valentine Before & After School Program,Mississauga,0,1,0,1
2020-09-24,2020-09-25,Fenside Drive Children's Centre Inc.,Toronto,0,1,0,1
2020-09-24,2020-09-25,FunCare Learning Centre,Elmira,1,0,0,1
2020-09-24,2020-09-25,Garderie Éducative Renée Tassé,Ottawa,1,1,0,2
2020-09-24,2020-09-25,Garderie Tunney's Day Care,Ottawa,0,1,0,1
2020-09-24,2020-09-25,Glebe Parents' Daycare First Avenue Campus,Ottawa,1,0,0,1
2020-09-24,2020-09-25,Global Home Child Care,Ottawa,0,1,0,1
2020-09-24,2020-09-25,Inspiring Minds Early Learning Centre,Wellesley,0,1,0,1
2020-09-24,2020-09-25,Kiddies Lodge Daycare Centre,Toronto,1,0,0,1
2020-09-24,2020-09-25,"La Coccinelle, Arc-en-Ciel",Cumberland,0,1,0,1
2020-09-24,2020-09-25,Le Cerf-Volant - Édouard-Bond,Ottawa,1,0,0,1
2020-09-24,2020-09-25,"Le Cerf-Volant, George-Étienne-Cartier",Ottawa,0,1,0,1
2020-09-24,2020-09-25,Locomotion Day Care Centre - Full Day ,Tottenham,1,0,0,1
2020-09-24,2020-09-25,MIFO école des Voyageurs,Orléans,0,3,0,3
2020-09-24,2020-09-25,MIFO école St. Joseph d'Orléans,Orléans,0,1,0,1
2020-09-24,2020-09-25,Montessori School House Inc,Maple,1,0,0,1
2020-09-24,2020-09-25,Nottingham YMCA Schoolage,Ajax,1,0,0,1
2020-09-24,2020-09-25,OAKVILLE FAMILY YMCA SACC - SUNNINGDALE,Oakville,2,0,0,2
2020-09-24,2020-09-25,Our Lady of Fatima School Age,Woodbridge,0,1,0,1
2020-09-24,2020-09-25,Palmerston Community Daycare,Toronto,1,0,0,1
2020-09-24,2020-09-25,PLASP - San Lorenzo Ruiz,Mississauga,1,0,0,1
2020-09-24,2020-09-25,PLASP - ST. Raphael Catholic School,Mississauga,0,1,0,1
2020-09-24,2020-09-25,Progress Childcare (Scarborough Inc. #1)  (3 Glamorgan),Toronto,0,1,0,1
