FILE_DATE,PHU_NAME,PHU_NUM,ACTIVE_CASES,RESOLVED_CASES,DEATHS,,,,,,
20200410,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,23,69,18,,,,,,
20200410,HALTON REGION,2236,112,137,9,,,,,,
20200410,HASTINGS & PRINCE EDWARD COUNTIES,2238,12,11,1,,,,,,
20200410,HURON PERTH,5183,20,8,1,,,,,,
20200410,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,13,39,0,,,,,,
20200410,LAMBTON COUNTY,2242,65,26,9,,,,,,
20200410,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,102,36,8,,,,,,
20200410,MIDDLESEX-LONDON,2244,109,53,8,,,,,,
20200410,NIAGARA REGION,2246,91,95,12,,,,,,
20200410,NORTH BAY PARRY SOUND DISTRICT,2247,2,4,0,,,,,,
20200410,NORTHWESTERN,2249,1,8,0,,,,,,
20200410,OXFORD ELGIN-ST.THOMAS,4913,13,13,2,,,,,,
20200410,PEEL REGION,2253,575,222,14,,,,,,
20200410,PETERBOROUGH COUNTY-CITY,2255,14,36,0,,,,,,
20200410,PORCUPINE,2256,21,15,2,,,,,,
20200410,RENFREW COUNTY AND DISTRICT,2257,5,6,1,,,,,,
20200410,SIMCOE MUSKOKA DISTRICT,2260,64,51,5,,,,,,
20200410,SUDBURY AND DISTRICT,2261,8,19,1,,,,,,
20200410,THUNDER BAY DISTRICT,2262,15,7,0,,,,,,
20200410,TIMISKAMING,2263,4,3,0,,,,,,
20200410,TORONTO,3895,947,582,52,,,,,,
20200410,WATERLOO REGION,2265,99,91,5,,,,,,
20200410,WELLINGTON-DUFFERIN-GUELPH,2266,90,40,1,,,,,,
20200410,WINDSOR-ESSEX COUNTY,2268,175,71,6,,,,,,
20200410,YORK REGION,2270,310,268,24,,,,,,
20200411,ALGOMA DISTRICT,2226,3,7,0,,,,,,
20200411,BRANT COUNTY,2227,21,42,1,,,,,,
20200411,CHATHAM-KENT,2240,6,11,1,,,,,,
20200411,CITY OF HAMILTON,2237,76,131,6,,,,,,
20200411,CITY OF OTTAWA,2251,208,286,8,,,,,,
20200411,DURHAM REGION,2230,137,165,20,,,,,,
20200411,EASTERN ONTARIO,2258,17,38,0,,,,,,
20200411,GREY BRUCE,2233,19,13,0,,,,,,
20200411,HALDIMAND-NORFOLK,2234,71,28,10,,,,,,
